Title,Service,Locations,Description,Features,Awards
TEXRail Station at DFW International Airport Terminal B,Architecture,Dallas,"TEXRail is a new 27-mile commuter rail line linking downtown Fort Worth to DFW International Airport's Terminal B. As on-call architect for DFW Airport, HKS was awarded the contract in 2015 to provide design and construction of the TEXRail Station at Terminal B, and the passenger walkway leading to Terminal B. In addition to its location within a busy hub airport and a firm opening date of January 2019, the project team faced other challenges, including existing utility obstructions, a natural gas line that needed relocating and the presence of asbestos uncovered by demolition of the remaining Airtrans guideway and associated facilities. Dealing with the utility obstructions and devising a plan to ensure proper removal and disposal of the asbestos could have caused significant delays in the project schedule.
As the originating/destination point for thousands of passengers each day, designers looked to create a space that would be consistent with the nearby DART station built in 2012. They also wanted to provide an efficient, pleasing customer experience as passengers transitioned from the TEXRail Station to the terminal. The design of the station incorporates elements of the DART terminal, including clean, open spaces, with a well-designed signage and orientation system and dramatic curving canopies over the station. Showcasing DFW Airport as a global transportation hub, HKS architects created a mural along the pedestrian walkway depicting graphic representations of major international cities.
HKS leveraged its experience as on-call architect for the airport, working closely with the client, project contractor and numerous airport stakeholders to help keep the project on schedule. An airport is like a small city, with a network of departments that keep it operating smoothly. HKS used its knowledge of the stakeholders and their protocols to translate their requirements into the overall planning. Through weekly alignment meetings and close coordination with the airport project team, HKS helped maintain the construction schedule with no disruption to critical airport operations — despite severe weather, road closures and temporary rerouting of pedestrian and vehicular traffic.
The new TEXRail service is critical to the continued growth and vibrancy of the Dallas-Fort Worth area, bringing new economic development opportunities along the 27-mile line. TEXRail is the first public transportation option to directly connect DFW Airport to downtown Fort Worth. In addition to providing direct access to Fort Worth, one of the fastest growing cities in the country, it offers a convenient, affordable transportation option for airport employees and people who work along the route. Daily ridership is expected to grow from 8,000 at the end of the first year of operation, to 14,000 by 2035.","16,500 square feet
8,000 daily riders by end of first year (14,000 by 2035)
Nine stations along the 27-mile route
Passenger platform, walkway with crewroom and DFW ITS communications closet
Walkway connects TEXRail to existing DART station adjacent to Terminal B",2018 DFW Airport DCC (Design Code and Construction) Project of the Year award
Norton Women’s and Kosair Children’s Hospital,Interior Design/Architecture/Urban Design,Dallas/Detroit/Phoenix,"Building for today with a plan for tomorrow, this specialty hospital for women and children challenged designers to redesign and expand their space to create a setting for holistic services and compassionate care for vulnerable patients.
Inspired by the wonder and discovery of nature, the curvilinear building features several key moments of escape. The design features multiple daylight-filled walkways leading to a rooftop garden, encouraging a connection to the outdoors and its healing properties. A multi-colored glass exterior creates serene indoor lighting that shifts with the changing daylight, while a labyrinth offers an opportunity for meditation and privacy.
Because of space limitations, the project has a vertical design with new floors built over the existing intensive care unit and emergency department. Additions include a 16-bed ICU, a 40-bed NICU, 33 medical and surgical beds, impatient migraine treatment, the Norton Cancer Institute and a breast health center.
Completed with associate architects, Laughlin Millea Hillman Architecture of Louisville, a phased construction process allowed for uninterrupted use of the facility during the renovation and construction. Many spaces, including the oncology department, workout rooms and NICU, feature flexible furniture and partitions that allow flexibility based on patient needs rather than fixed bed counts.","16-bed ICU
40-bed NICU
33 medical and surgical beds
Inpatient migraine treatment
Norton Cancer Institute
Breast health center
Workout area","2016 Healthcare Design Showcase
2016 Modern Healthcare
2015 Louisville Business First, Commercial Real Estate Awards Medical Project Category"
ParkwayHealth Gleneagles Shanghai International Hospital,Architecture/Interior Design,Dallas/Shanghai/Singapore,"Design a multi-specialty general hospital that supports Shanghai's transformation into a medical tourism destination that also supports the local population.
The building design was inspired by the study of transformational processes. The building's skin is specifically tuned to the environment by minimizing direct heat gain while maximizing daylighting. Other key attributes of the design include access to nature via balconies and roof gardens throughout the building, as well as a reduced tower footprint that improves natural lighting and ventilation.
The project is a part of the New Hongqiao International Medical Center masterplan. Its proximity to Hongqiao International Airport and the Shanghai Hongqiao Railway Station provides accessibility to patients from across Asia and beyond.
Opening in 2020, ParkwayHealth Gleneagles Shanghai is key to the company's growth in China. A full-service interventional suite, infusion center and lifestyle services cater to both the local population and the international medical tourism market. This hospital is also the first foreign private joint venture hospital in the New Hongqiao International Medical Center.","91,500 square feet
450-bed general hospital
Cardiology
Cardiac surgery
Gastroenterology
Urology
Minimally invasive surgery
General surgery
Internal medicine",
JPMorgan Chase Regional Headquarters,Architecture/Interior Design/Branded Experiences/Mixed-Use/Sustainable Design,Dallas/Chicago,"To design a regional headquarters that attracts and retains top employees to its collaborative, interactive and engaged corporate campus with a design inspired by Texas art and landscape.
The new JPMorgan Chase regional headquarters is a 50-acre campus with three office buildings built to accommodate 6,000 employees. The campus features contemporary amenities including a wellness center, a child care center, multiple art installations, a cafeteria, a Starbucks, and public plazas between buildings. The sustainably-designed campus is LEED Gold certified.
Donald Judd, the minimal artist known for his landscape installations in Marfa, Texas, was the inspiration behind the workplace interiors. Quoting Judd, HKS designers sought to use “just enough design to solve the problem at hand.” Raw materials such as steel and an exposed concrete structure provide a backdrop for artistic details including florescent tube lights, a nod to Judd's friend, modern artist Dan Flavin.
With the new headquarters, Chase now joins Liberty Mutual Insurance, Toyota and FedEx Office as large employers at Legacy West. More than 15,000 people are expected to eventually work at Legacy West, which would make it one of the large job sites in Texas.",,
Texas Live! By Loews,Architecture/Interior Design,Dallas,"To help establish the Dallas-Fort Worth-Arlington area as one of America's top tourism and convention destinations, the well-established Loews hotel brand challenged designers to create the ultimate urban destination between AT&amp;T Stadium, the home of the Dallas Cowboys, and the under-construction Globe Life Field, the new home of the Texas Rangers. Both of those projects were also designed by HKS.
The design takes cues from the plateaus of the wild west and signature Texan hospitality. Guests are greeted by an oversized fireplace and a view of AT&amp;T stadium framed perfectly beyond the bar, while a monumental staircase connects to a two-level ballroom and convention center. The open feel of the project allows guests to gather and socialize before, during and after contests at either of the two stadiums and provides easy access to both.
Texas Live! is expected to create approximately 3,025 jobs in the city of Arlington and Tarrant County, and it is expected to lead to $100 million per year in economic impact in the first 40 years.","302-key Loews hotel
Outdoor infinity-edge pool
Private rooftop terrace
Two-story convention center
Outpost of Fort Worth-based Revolver Brewery
Three themed restaurants",
Grand Solmar at Rancho San Lucas Resort,Architecture/Urban Design,Dallas/Miami/Mexico City,"Classic Cabo San Lucas Hotelier Solmar recognized that savvy vacationers were reconsidering their ideas of luxury and seeking greater personalization in their travel experiences. In a departure from typical all-encompassing resort models, they sought to develop a more natural and open-ended experience. The designers were challenged to complement this remote setting and bring a new flavor to its existing beachfront properties on the southern tip of the peninsula.
The 600-key resort on the Pacific side of Cabo San Lucas was developed around windswept sand dunes and 100-year-old arroyos. Natural curves, views, and site opportunities guided the planning of the site, which includes 43 buildings, a salt water lagoon, luxurious spa facilities and a ballroom and business center. The breezy property, surrounded by desert landscape, highlights indoor-outdoor connections, and provides continuity with its sister properties through the use of vernacular materials and the resort's signature cupula motif.
Solmar's resort on a pristine desert landscape lets vacationers experience the allure of a private oasis while enjoying the amenities of a luxury suite. From warm and inviting interiors, to a striking and preserved natural landscape, the design invites greater attention to natural beauty and promotes a new, experience-focused paradigm in resort development.","43 total buildings
Business center
Spa and salon
Retail and market
Seven restaurants and a kids’ club
27 hectares
Salt Water Lagoon and Lazy River
18-hole Greg Norman championship course",
Optus Stadium,Architecture/Interior Design/Alternative Project Delivery,Dallas/London,"To design a stadium that meets the dual goal of serving as a multipurpose modern sports facility as well as a useful destination for citizens and non-sporting activities.
Optus Stadium is home to both the West Coast Eagles and the Fremantle Dockers of the Australian Rules Football League. Designers used anodized aluminum on the stadium's bronze façade to reflect the special geology of Western Australia by day, and a 15,000-light LED system at night that can highlight the team colors of either the Eagles or the Dockers. The pitch is oval-shaped to accommodate cricket matches in addition to other types of sporting events. Designers also lowered the seating bowl to give fans exceptional views and bring them closer to the action on the field. The structure's lightweight fabric roof, created specifically for the stadium, provides shelter to 85 percent of the facility&#8217;s 60,000-seats. The project's responsible design not only celebrates the six seasons recognized by Australia's indigenous community, it also includes a network of walking and cycling trails, as well as playgrounds, picnic areas and a boardwalk for use by the public. HKS is part of the WESTADIUM consortium that includes Hassell Studio and Cox Architecture.
Optus Stadium will host a variety of events including cricket and soccer matches and major concerts, in addition to Australian Rules Football contests. Non-sports enthusiasts who come to the area around the stadium will have access to an amphitheater, children's playgrounds and picnic areas. Disabled fans were kept in mind throughout the design process and there are wheelchairs positions at every level and more than 70 universally accessible toilets throughout the facility.","60,000 seats
15,000-light LED system
Natural couch grass mixed with rye and artificial grass playing surface
Flexible warm-up and recovery areas","2018 Western Australia Architecture Awards, Jeffrey Howlett Award for Public Architecture
2018 Western Australia Architecture Awards, The Wallace Greenham Award for Sustainable Architecture"
CapitalMED Medical City,Mixed-Use/Architecture/Interior Design/Advisory Services/LINE,"Washington, D.C./London/Richmond/Dubai/Dallas","Egyptians for Healthcare Services (EHCS) has a vision for a medical destination that will revolutionize the health care industry in the region and attract medical tourism to Egypt. The project is in an area that is challenged by wealth gaps, economic turmoil and access to high quality health care. Dr. Hassan el Kalla, CEO and chairman of the board for EHCS, said the primary tenet of the project is to “create an environment where doctors and patients from all over the world want to practice and heal.”
HKS designed an interconnected green campus featuring a teaching hospital, specialized medical centers, offices, mixed-use retail and extended-stay housing. Located across from New Capital City in central Cairo, the campus is inspired by the extraordinary history and architecture of Egypt. As an academic medical center, education is also a central focus with a dedicated simulation center, education classrooms and living facilities onsite.
Built on a platform centered around medical education, training and extensive research, CAPITALMED Medical City looks beyond the traditional health care campus to create a wellness campus that establishes the new standard for health care in the MENA region. Further, they aim to do this on an eco-friendly, mixed-use campus that promotes well-being for all. This 2,000 bed campus will include specialties ranging from outpatient care to specialized institutes that address key health issues facing the region. The campus engages the community with health-centered mixed-use elements, including a large shopping center, public gardens, a hotel, natatorium and wellness spa. When CAPITALMED Medical City is completed in 2023, patients will have access to world-class amenities and an authentically Egyptian urban experience.","636,320 square meters
2,000 bed medical facility
13 buildings
100-key five-star hotel
Nine specialty medical institutes
80-acre site",
Rosewood Puerto Papagayo,Architecture,Dallas,"The pristine northwest coastline of Costa Rica within Guanacaste Province on the Gulf of Papagayo is treasured for its tropical forests, varied wildlife and white sand beaches. The design approach required great sensitivity to the site's natural contours, treading lightly and integrating with the native landscape and ecosystem. Rugged landscape and sweeping ocean views are major design drivers. The site&#8217;s natural setting provides natural shading and engagement, but changes from wet to dry with the seasons, requiring the design team to understand the exposure the structures provide and their impact on guest comfort and privacy.
The architecture maximizes views by delicately lifting the structures up from the ground, gently integrating into the natural landscape and ecosystem. The terraced, low-rise, open-air structures are decentralized and sprinkled throughout the site to take full advantage of ocean vistas while amplifying privacy and tranquility. Minimized pathways alleviate scaring to the hills, allowing guests to maneuver laterally and vertically through the site comfortably and naturally.
The pools are gently cut out naturally through the site, allowing water to cascade down through the main spine of the resort, becoming a natural wayfinding element.
The signature treehouse suites offer guests intimate engagement with the Costa Rican eco-environment. The two-story suites emulate a butterfly cocoon that lift from the ground, bypassing treetop canopies that are accessed via trails and hanging bridges, creating an immersive experience with nature.
Rosewood Puerto Papagayo radiates Costa Rican character with its use of locally sourced stone, hardwoods, artwork and handcrafted textiles and furnishings by local artisans, creating an authentic connection to this one-of-a-kind place.","130 guest rooms, including seven two-story treehouse suites
50 residences
Two pools
Poolside bar and grill
Beachfront access
Spa & fitness center
18-hole golf course",
Kuwait Children’s Hospital,Architecture/Interior Design/Advisory Services/LINE,Dubai/Richmond/London/Dallas/Miami,"To design the largest children&#8217;s hospital in the world, of significance to national, regional and global health care precedence. It is the first consolidated pediatric care model in the Middle East, designed experientially, through variance in scale.
HKS architects proposed a crystalline design connecting the historic traditions of science, healing, and the life-supporting nature of water. The podium's solid masonry shell wraps the precious treatment functions it protects. The healing tower rises above with a glimmering façade of facetted metals and glass, reflecting and filtering light through a layered shade screen.
Building surface materials—masonry, metal, and glass—and their treatments respond to the harsh environmental conditions of the desert. Penetrations in the skin allow windows and ventilation points, each derived from the triangular crystal form of the overall concept.
Inpatient rooms are located on both east and west faces of the Ward Tower. They are accessed from the rest of the hospital by central vertical circulation cores which handle and separate patient, visitor, staff, and service access. Each bedroom, thanks to its non-orthogonal geometry, has a directed view to the sea and they can accommodate two family members to stay overnight with the patient.
Public areas include a 375m-long (1,240 feet) enclosed atrium, 30m in height. The atrium is conceived as an underwater scene of larger-than-life sea creatures that become ambassadors for the patient journey. “The Great Sea Adventure” tells the story of the local Kuwaiti marine ecology and an oceanic heritage.
Illuminated fish suspend from the ceiling, occupiable turtles sit upon puppet-like stilts and are accessed from the upper floors across bridges. A blue whale hosts a sibling play area and gaming theatre while a shark contains one of two public cafes.
The atrium was designed not as a health care environment, but akin to a civically-scaled entertainment complex intended for community engagement, positive distraction, and national pride.
Kuwait Children's Hospital is positioned to be the largest children's hospital in the world at 595,000 square meters (6.4 million square feet) and was delivered with a forward-thinking design that incorporates state-of-the-art technology and energy conservation. The 120,774 square meter (1.3 million square foot) site sits by the sea in the Sabah Health Region of Kuwait City.","595,000 square meters (6.4 million sf)
12 Hectares (29.6 acres)
792 beds
11,000+ rooms
99-bed ICU
48-bed NICU
Eight MRIs + one Hybrid MRI
Six CT scanners + one Hybrid CT
19 X-ray rooms
30 Operating Theatres
Dedicated Cancer care inpatient wing
Trauma centre with dedicated helipad and high-speed lift connection to OT floor
Extensive roof gardens incorporating food and entertainment venues with rehabilitation zones and therapy gardens for mental health","Health Category (World Architecture Festival)
2017 Award of Excellence (AIA Orlando Chapter)"
Pacific Plaza Park Pavilion,Architecture/LINE,Dallas,"Designing within a dense urban area poses unique challenges, and the pavilion within the city of Dallas’ downtown Pacific Park Plaza park was no exception. The location is surrounded by tall buildings, requiring that the pavilion look appealing from a bird's eye view as well as at pedestrian level. In addition, any construction had to avoid interfering with the sightline through the park, an important element when enticing passersby on all sides to enter.
HKS designed the Pavilion to connect with itself and its elliptical shape is appealing from a skyscraper window. The Pavilion itself sits approximately 15 feet above the ground and is supported by 11 columns. These cruciform columns are angled to appear as thin as possible, preserving the sightlines through the park.
Like many cities, Dallas is eager to re-create its downtown district to appeal to residents and workers. The Pavilion is part of an ongoing initiative to develop more parks in downtown Dallas and serves as a key element in the city's “green link” of parks that will run through and connect several disparate Dallas neighborhoods.","4,600 square feet
Open-air pavilion
Perforated metal panels","2018 AIA Dallas Chapter, Unbuilt Design Award"
