Title,Location,Link,Factors,Content
King Khalid International Airport Expansion ,"Riyadh, Saudi Arabia",https://www.hok.com/design/service/architecture/king-khalid-international-airport-development-and-expansion-/,"LEED CERTIFICATION: LEED-NC Silver anticipated

SIZE: 3.06 million sq. ft. / 284,200 sq. m.
24 gates

SERVICES: Architecture
Facility Programming
Interior Design
Landscape Architecture
Terminal Design
Terminal Planning","Thirty years after designing King Khalid International Airport (KKIA), HOK is the design team leader for the expansion of Terminals 
3 and 4.
This expansion will enable the airport to meet increasing demand and support the country’s growing economy. As with the original airport, the design creates a strong sense of place and a passenger-friendly terminal welcoming each traveler as an important guest to Riyadh.
When HOK designed the four terminal buildings in the 1980s, one was left as an empty building shell. The design brief for the current project was to integrate and extend Terminals 3 and 4 as an infill development that complements and enhances the existing airport while accommodating 17.5 million passengers per year. The project also introduces a central processor building and three new piers with 24 gates.
The integrated design solution responds to Riyadh’s culture while providing memorable spaces. The hexagonal roof form and triangular organization of the original buildings guided the design. By basing the plan on the original module size, the team designed a seamless intervention with no clear distinction between old and new.
Sustainable strategies include replacing the existing terminals’ external cladding with a high-performance facade system and upgrading infrastructure with two new energy centers.
An integrated BIM strategy allows the entire design team to rationalize and coordinate the process throughout construction. The facilities are being refurbished in two phases to allow the existing airport operations to function at capacity during construction."
5 Churchill Place,"London, UK",https://www.hok.com/design/service/architecture/5-churchill-place/,"BREEAM CERTIFICATION: BREEAM Excellent

SIZE: 300,000 sq. ft. / 28,000 sq. m.
15 stories

SERVICES: Architecture
Landscape Architecture

AWARDS: Autodesk Revit Design Awards for Non-Residential Projects - Overall Winner","5 Churchill Place is a 15-story office tower in London’s Docklands at the eastern gateway to Canary Wharf.
Completed within an extremely fast schedule, 5 Churchill Place was built on an irregularly shaped site over a pre-existing basement and a ramp structure that served a neighboring building. Tenants have easy access to the London Underground’s Jubilee line and light rail.
Collaborating with the developer, HOK’s team pushed the elevations of the building out to the perimeter of the site to maximize the size of the floor plates, which include six specialist trading floors. The offset core helps create a contemporary, adaptable workplace for trading or office functions.
Elevations vary according to the solar orientation, helping to achieve a BREEAM Excellent rating that contributes to the long-term sustainability of this bold, yet refined, structure.
This project was conceived, designed and built with the aid of building information modeling. Using BIM enabled the team to involve all parties at early stages of design, streamlining the process and reducing the number of design changes during later phases."
Istanbul International Financial Center,"Istanbul, Turkey",https://www.hok.com/design/service/architecture/istanbul-international-financial-center/,"SIZE: 170 acres / 70 hectares
45 million sq. ft. / 4.2 million sq. m.

SERVICES: Architecture
Landscape Architecture
Master Planning
Sustainability Guidelines
Urban Design","HOK developed the master plan for the Istanbul International Financial Center (IIFC
), a US$2.6 billion project that is integral to Turkey’s plan to make its economy one of the world’s 10 largest.
The Turkish government’s goal for the landmark project is to establish Istanbul as a global center for finance. The IIFC will house the head offices of the country’s financial market governing bodies, state-owned and private banks, and related businesses. It will include 45 million square feet of office, residential, retail, conference, hotel and park space.
HOK’s master plan provides a framework for developing a sustainable financial center in a way that blends human need, environmental stewardship and economic viability into a new global model of urbanism rooted in Turkish culture.
The plan creates four distinct districts focusing on culture, commerce, civic functions and governance. Strategically located between the Ataşehir and 
Ü
mraniye districts, the site offers easy accessibility and views to the historic center of Istanbul.
Major infrastructure improvements include a transportation system featuring a new subway line and station as well as new infrastructure for sustainable power, water, data and security. These systems are integrated into a podium that provides a surface for a new urban park.
In addition to creating the master plan, architectural and landscape design standards, and sustainability guidelines, HOK is designing two of the IIFC’s high-rise office towers."
William Jefferson Clinton Children's Center,"Port-au-Prince, Haiti",https://www.hok.com/design/service/architecture/william-jefferson-clinton-childrens-center/,"LEED CERTIFICATION: LEED Platinum anticipated

SIZE: 6,000 sq. ft. / 560 sq. m.

SERVICES: Architecture
Facility Programming
Interior Design
Landscape Architecture
Lighting Design
Master Planning
Mechanical/Electrical/Plumbing
Engineering
Structural Engineering","A new orphanage and children’s center in Port-au-Prince will create a culturally relevant model of sustainable construction that can be replicated throughout the region.
HOK is the USGBC’s official design partner for Project Haiti, the replacement of an orphanage and children’s center that was severely damaged in the 2010 earthquake. In a country with no enforceable codes or functioning infrastructure, this design puts forward a net zero energy, water and waste facility that meets LEED Platinum standards.
An all-volunteer HOK team, including architects, landscape architects, lighting designers, sustainable experts and structural, mechanical and plumbing engineers, is tackling the challenge of bringing highly sustainable design to a developing country. The goal is to design a nurturing, restorative place.
The design of the William Jefferson Clinton Children’s Center integrates biomimicry to create a locally attuned and responsive building solution. The building references a culturally significant keystone species, the kapok tree, both in the branching diagrid supports of the balcony system and the low emissivity, heat-shedding characteristics of its second skin. Protecting the building like tree bark, a bamboo “boundary layer” shields exterior walkways and vertical surfaces from direct sunlight while allowing for daylighting and natural ventilation. A roof garden acts as the building’s “foliage,” supporting the solar energy system and providing additional green space.
The net zero design uses passive and renewable strategies to support a safe, healthy environment for children, staff and future parents. The building systems are designed to provide independence from the city’s unreliable power grid, harnessing excess energy to power streetlights and public charging stations on the street.
To ensure a safe water supply, a closed-loop system collects, treats and stores water on-site. A water collection system on the roof funnels water into an underground cistern. Gray and black water are fed into a bioreactor, which filters and cleans it for reuse in landscaping.
To highlight Haiti’s rich artistic heritage, the design uses local materials and artwork, especially ironwork, murals and woodwork crafted by local artisans. Through this project, designers intend to educate local craftsmen on replicable, resilient construction techniques.
The main three-story, L-shaped structure envelops a central courtyard, the focal point of the orphanage’s social life. A separate tower contains training and office space. The kitchen and dining areas and corner stair tower provide refuge during hurricanes. In response to seismic risk, the design uses lightweight infill and contains a ground-level “safe zone” where occupants can gather in the event of an earthquake.
Project Haiti has been recognized as a Commitment Maker by the Clinton Global Initiative.
 "
Indianapolis International Airport,"Indianapolis, Indiana, USA",https://www.hok.com/design/service/architecture/indianapolis-international-airport-colonel-h-weir-cook-terminal/,"LEED CERTIFICATION: LEED certified

SIZE: 1.25 million sq. ft. / 116,100 sq. m.
40 gates

SERVICES: Architecture
Facility Programming
Interior Design
Landscape Architecture
Lighting Design
Terminal Design
Terminal Planning

AWARDS: em>Conde Nast Traveler Readers Choice Award - Best U.S. Airport (2014-2017)
Airports Council International - North Americas Best Airport (2012-2016)
Airports Council International-North America - First Place, Best Overall Specialty Retail Program, Medium-Sized Airport
Airports Council International - Director Generals Roll of Excellence
Illuminating Engineering Society of North America - Award of Merit
Illuminating Engineering Society St. Louis - Section Award
J.D. Power and Associates - Highest Customer Satisfaction Score
Keeping Indianapolis Beautiful - Monumental Award for Architecture
em>Midwest Construction magazine - Green Building Award of Merit
Transportation Security Administration - National Partnership Award","The Colonel H. Weir Cook Terminal acts as a world-class gateway to Indianapolis while providing exceptional customer service and flexibility for future changes.
The building and its form represent Indianapolis’ vision for becoming a global crossroads. At the heart of the terminal, a 200-foot-wide room creates a great “Civic Plaza” where art, retail, social and civic functions converge and passengers can connect with the Indiana landscape. Capped with a hyperbolic glass and steel skylight, this room has become a threshold to the “crossroads of America.”
The desires to provide clarity for passengers and to achieve energy efficiency also give shape to the building. 
The hyperbolic roof reinforces the path of travel, defining both the great arched front as well as a passenger’s movement between landside and airside. In addition, the terminal roof is designed to shade the building’s curtain walls while providing scenic views of the Indiana landscape. The roof form, skylight and high-performance curtain wall systems were designed to work together to assure that primary building lighting is not in use during daylight hours throughout the departure level. These strategies are joined with a unique mechanical system of radiant floors and stratified ventilation that assure that only the building’s inhabited zone, below 10 feet, is tempered to human comfort.
“With views of the downtown skyline, the Indianapolis International Airport Colonel H. Weir Cook Terminal has been celebrated for its sense of place, and for treating its passengers as guests, much the way the hotel industry does,” reported 
City Lab
. “It has its own civic plaza, a light-filled central space with 35-foot ceilings that functions as the nexus of activity—every passenger, whether arriving or departing, passes through—where half of all the airport’s shops and restaurants reside. Customers routinely comment on the terminal’s calm feel, and on its efficiency and easy navigation.”
This is the world’s first complete airport campus to earn LEED certification and one of the largest LEED-certified projects in the U.S
In 2016, for the third straight year, travelers selected Indianapolis International as the top U.S. domestic airport in the Condé Nast Traveler Readers’ Choice Awards."
KAUST,"Thuwal, Saudi Arabia",https://www.hok.com/design/service/architecture/king-abdullah-university-of-science-and-technology/,"LEED CERTIFICATION: LEED-NC Platinum

SIZE: 5.5 million sq. ft. / 511,000 sq. m.
27 buildings

SERVICES: Architecture
Construction Administration
Graphics
Facility Programming
Interior Design
Laboratory Planning
Landscape Architecture
Lighting Design
Master Planning
Mechanical/Electrical/Plumbing
Engineering
Structural Engineering

AWARDS: AIA/ALA - Library Building Award
AIA Chicago - Design Excellence Awards - SustainABILITY Leadership Award - Citation of Merit
AIA Committee on the Environment - Top 10 Green Projects
AIA Houston - Design Award (KAUST Library)
AIA St. Louis - Honor Award
AIA San Francisco - Energy + Sustainability Merit Award (KAUST Library)
AIA San Francisco - Excellence in Architecture Merit Award (KAUST Library)
ASLA Georgia - Honor Award
Association of University Research Parks - Emerging Research and Science Park
The Chicago Athenaeum: Museum of Architecture and Design - International Architectural Award
Congress for the New Urbanism - Charter Award
European Centre for Architecture Art Design and Urban Studies - Green GOOD DESIGN Award
IIDA Northern California - IIDA Award (KAUST Library)
em>Interiors & Sources - Top 10 LEED Projects (#1 Ranking)
em>R&D Magazine - Lab of the Year
em>Sustain Magazine - International Project of the Year","This new campus along the coast of the Red Sea houses the world’s most advanced collection of laboratories, equipment and instrumentation across the entire spectrum of science.
The mission of KAUST’s internationally renowned scientists is to address humanity’s most urgent scientific challenges related to energy and the environment. Interdisciplinary research being conducted at KAUST includes pursuing sustainable solutions for water, energy and food.
The project team had less than 30 months to design and construct 5.5 million square feet of complex space across 27 buildings. The campus features 2 million square feet of laboratory space spread across four interconnected, 500,000-sq.-ft. buildings. Exceptionally flexible building shells and universal floor plates accommodate virtually every lab type.
R&D Magazine
 reported that “KAUST contains just about every modern lab concept known today. Just a few of the notable features include interchangeable lab neighborhoods, changeable lab support zones, grid planning, kit-of-parts lab furniture, walkable interstitial space, overhead lab services, MEP systems integrated with lab grid, heat recovery wheels, lab visibility/transparency, collaboration spaces, simple and large circulation spines, high-height pilot areas and lab daylighting.”
The campus is Saudi Arabia’s first LEED certified project and, at the time of its certification, was the world’s largest LEED Platinum project."
Community Hospital of the Monterey Peninsula,"Monterey, California, USA",https://www.hok.com/design/service/architecture/community-hospital-of-the-monterey-peninsula-pavilion-expansion/,"SIZE: 290,000 sq. ft. / 26,940 sq. m.

SERVICES: Architecture
Interior Design
Master Planning

AWARDS: American Institute of Architects - Building Type Award","Healthcare Business & Technology
 named this community hospital one of the 
“25 most beautiful hospitals in the world.”
HOK designed an expansion that doubled the size of the hospital while adding state-of-the-art technology based on the modern care protocols.
Completed through a design-build delivery model, the project included a 200,000-sq.-ft. new building and a 90,000-sq.-ft. expansion.
Architectural Record
 reported that HOK’s major design challenge was “maintaining the Zen-like peacefulness and iconic design of a complex that has become a fixture in the community while carrying out such an extensive enlargement and modernization and adhering to the incredibly strict regulations of the Office of Statewide Health Planning and Development.”
A new patient bed wing and diagnostic and treatment center feature 100 percent single-bed, multi-acuity patient rooms developed around a series of healing gardens.
The project includes a new surgery and cardiac surgery department, a new cardiac catheterization department, a new emergency department, a renovated and expanded radiology department, support services, mechanical plant and structured parking.
The design helps patients relax. CHOMP overlooks the Pacific Ocean and Monterey pine forests. This expansion blends into the environmentally protected area while maintaining the character and integrity of the original facility, designed by architect Edward Durell Stone."
Sheraton Incheon Hotel,"Incheon, South Korea",https://www.hok.com/design/service/architecture/new-songdo-city-sheraton-incheon-hotel/,"LEED CERTIFICATION: LEED-NC certified

SIZE: 500,000 sq. ft. / 46,300 sq. m.
25 stories
319 rooms

SERVICES: Architecture
Landscape Architecture
Master Planning","This project brings South Korea’s first LEED-certified hotel to the emerging metropolis of Incheon.
The five-star hotel is located in the heart of the New Songdo City business node. It plays a vital role in characterizing the urban landscape of this growing city.
The hotel offers 319 premium guest rooms. The top floors feature a luxurious presidential suite and distinctive executive lounge. Hotel amenities, including two ballrooms, function rooms, a spa, gym facilities, a covered swimming pool, two restaurants and a lounge bar, are located on the five lower levels.
HOK designed the facades of the guestroom tower to be broken into four-story-tall, two-room-wide modules that are fractured and angled further away from direct solar radiation. Each of these modules is shaded by two, four-story-tall perforated aluminum sunshades. The lower, amenity wing is wrapped in a reflective, metal roof that shades portions of the glazed facades below.
The Sheraton Incheon Hotel is part of a group of buildings that includes a convention center, a 65-story mixed-use residential and office tower, the Northeast Asia Trade Tower and a retail mall."
NASA Johnson Space Center Building 20,"Houston, Texas, USA",https://www.hok.com/design/service/architecture/nasas-first-leed-platinum-project/,"LEED CERTIFICATION: LEED-NC Platinum

SIZE: 83,000 sq. ft. / 7,700 sq. m.

SERVICES: Architecture
Construction Administration
Facility Programming
Interior Design
Landscape Architecture
Mechanical/Electrical/Plumbing
Engineering
Sustainable Consulting

AWARDS: AIA Houston - Design Award, Architecture Greater than 50,000 sq. ft.
em>Engineering News-Record Texas and Louisiana - Judges Award, Best Green Building Project","NASA’s new LEED Platinum office facility is a model for environmentally sound, high-performance buildings across the agency.
Building 20 accommodates up to 520 employees in mostly open office space with access to daylight and outdoor views. It establishes a contemporary, more collaborative workplace paradigm for NASA.
HOK’s integrated architectural and engineering solutions include a highly efficient building envelope, an underfloor air distribution system that allows people to control the flow of air at outlets near their work areas, a total energy recovery wheel and a solar hot water harvesting system on the roof. The energy-efficient building is modeled to perform 57 percent better than a typical facility.
A “less is more” design approach and efficient space planning reduced the building’s total gross square footage by six percent. In addition to reducing perimeter circulation, the team minimized use of applied materials by leaving the concrete columns exposed and concrete ceilings unfinished and by using polished concrete for flooring in public areas."
Harlem Hospital Modernization,"New York, New York, USA",https://www.hok.com/design/service/architecture/harlem-hospital-center--major-modernization/,"SIZE: 260,000 sq. ft. / 24,150 sq. m.

SERVICES: Architecture
Construction Services
Facilities Assessment
Facility Programming
Interior Design
Landscape Architecture
Master Planning
Medical Planning

AWARDS: AIA New York - Honor Award","The Mural Pavilion is the new centerpiece of the Harlem Hospital Center.
The building unifies previously disconnected structures spread over two city blocks to create an integrated healthcare campus. A light-filled atrium and a dramatic, five-story, historically significant mural welcome visitors and form a new front door to the community.
All major clinical elements at Harlem Hospital have been organized to provide patient- and family-friendly care and treatment. The patient-centered care design integrates inpatient, emergency room and outpatient services under one roof, creating a unified healthcare complex from seven previously disparate structures. The top of the building is designed to accommodate the future addition of two floors.
Through a celebration of its historic cultural context, HOK designed the hospital to welcome and serve Harlem’s diverse community of cultures. The iconic mural on the exterior of the Mural Pavilion illuminates Harlem’s history and culture while showcasing the hospital’s prominent role in the community. Soaring 65 feet high and spanning a city block, the colorful, 12,000-square-foot glass facade mural depicts excerpts from the story of the African diaspora, creating a dramatic frontispiece along Lenox Avenue for the circa-1887 Harlem institution.
African-American artist Vertis Hayes created the “Pursuit of Happiness” mural in 1937 as part of the federal government’s Works Progress Administration program. Visible from the street and accessible from the atrium, a permanent art gallery houses the complete “Pursuit of Happiness” mural, with works of other WPA artists in adjacent galleries."
Barclays World Headquarters,"London, UK",https://www.hok.com/design/service/architecture/barclays-uk-headquarters/,"BREEAM CERTIFICATION: BREEAM Excellent

SIZE: 1 million sq. ft. / 92,900 sq. m.
30 stories

SERVICES: Architecture
Sustainable Consulting

AWARDS: Bovis Lend Lease - Design Safety Award
Considerate Constructors Scheme - Silver Award, Considerate Constructors
Green Organization - Green Apple Award, National Green Champion for Environmental Best Practice","Barclays wanted its headquarters to provide an efficient, high-performance environment.
The move to this new building created the opportunity for an open design to bring about a culture change that would encourage more interaction among Barclays’ staff members who had previously been scattered across multiple locations.
Five vertically stacked, south-facing atria maximize natural light in the office areas and provide space for a relaxed, informal working environment. The U-shaped floor plates create visual connections among occupants.
In the event of an emergency, the internal stair cores can accommodate the entire population of the building. This “invacuation” strategy has influenced post-9/11 building design in many major cities.
Below street level, the building provides connections to major retail facilities and to the Canary Wharf Underground Station."
Cedars-Sinai Advanced Health Sciences Pavilion,"Los Angeles, California, USA",https://www.hok.com/design/service/architecture/cedars-sinai-advanced-health-sciences-pavilion/,"LEED CERTIFICATION: LEED-NC Gold

SIZE: 820,000 sq. ft. / 76,200 sq. m.
11 stories

SERVICES: Architecture
Interior Design

AWARDS: AIA Academy of Architecture for Health - 2018 Healthcare Design Awards
ENR California - Best Projects 2014 - Award of Merit
AIA California - Architecture Merit Award
Los Angeles Business Council - Architecture Healthcare Award
Los Angeles Business Council - Community Impact Award
Los Angeles Business Council - Under Construction Healthcare Award","The 11-story Advanced Health Sciences Pavilion (AHSP) breaks down traditional institutional boundaries by combining world-class patient care, clinical offices, physician education, and training and research in one building.
With a research pavilion on the top two floors and clinics on lower levels, physicians can bring scientific breakthroughs to their patients with maximum safety and speed. Designed to bridge the gap between discovery and patient care, this new facility places research labs near clinical settings so physician-scientists can help transform medical care at Cedars-Sinai.
The flexible building houses translational research labs as well as outpatient centers of excellence, clinical functions and outpatient procedure centers. A plaza level features an educational center, café, pharmacy, blood lab and imaging facilities.
With its high-tech sensibility, sleek transparency and quality, well-crafted materials, the design of the building communicates the synergy of healthcare and science that is at its heart. Situated on a public edge of the Cedars-Sinai campus, adjacent to the primary circulation spine, the pavilion creates a new symbolic entry to the medical campus.
The 
LEED Gold design
 features materials that are environmentally friendly and energy-saving while also allowing for light and an enhanced sense of openness.
The project 
won a design award
 from the American Institute of Architects California Council. “This is an innovative project done really well, and a slam dunk,” said the jury."
KAPSARC Residential Community,"Riyadh, Saudi Arabia",https://www.hok.com/design/service/architecture/king-abdullah-petroleum-studies-and-research-center-residential-community/,"LEED CERTIFICATION: 191 single family homes
(188 Gold, one Silver and two Certified)
LEED Homes International Pilot
7 community amenity and multi-family buildings
LEED-NC Platinum
LEED Neighborhood Development (ND)

SIZE: Site: 500 acres / 200 hectares
Buildings: 2.05 million sq. ft. / 190,240 sq. m.

SERVICES: Architecture
Graphic Design
Interior Design
Landscape Architecture
Master Planning
Sustainable Design

AWARDS: AIA Washington, DC - Excellence Awards in Urban Design/Master Planning
U.S. Green Building Council - 2014 Best of Building Award - Best Regional Project: Middle East
em>Faith & Form magazine and The Interfaith Forum on Religion, Art and Architecture (IFRAA) - Honor Award - Religious Architecture: New Facilities","This residential community supports the King Abdullah Petroleum Studies and Research Center’s international staff and their families.
This visionary energy research hub, located between King Khalid International Airport and the city of Riyadh, attracts researchers and staff members from throughout the world. The residential community provides a premier environment that helps KAPSARC attract and retain world-class research and development talent.
The design includes 10 community buildings (three apartment buildings with retail, library, dining hall, recreation center, natatorium, mosque, supermarket and bowling alley), a 200-house residential community (including 11 house types) and four main utility buildings.
Two long, rectilinear apartment buildings flank the central dining facility and library. The horizontal sunshade structures of these modern, stone-clad forms complete the liner that defines the central plaza. The apartments provide an abundance of personal outdoor space with generously sized balconies as well as public outdoor space in the form of large roof decks. The apartments are a mix of one-story and two-story living units, offering lofts with two-story living rooms and ample natural light.
As the spiritual center of the KAPSARC residential community, the 
community masjid
, or mosque, has high visibility within the site.
KAPSARC is the first and the largest project outside of North America to achieve LEED for Homes certification. It was one of the first projects included in the LEED for Homes International Pilot Program, and all 191 of the villas were awarded LEED for Homes certification (188 Gold, one Silver and two Certified). It also is the largest 
LEED Neighborhood Development (ND) project
 in the Middle East and the largest LEED ND Stage 2 (built) project in the entire MENA region.
Designed by HOK, KAPSARC’s solar energy field, which was built over an area of 55,000 square meters and will generate about 5.8 megawatt hours of electrical energy annually, is the largest in Saudi Arabia."
Richard E. Arnason Justice Center,"Pittsburg, California, USA",https://www.hok.com/design/service/architecture/contra-costa-county-richard-e-arnason-justice-center/,"LEED CERTIFICATION: LEED-NC Silver

SIZE: 71,600 sq. ft. / 6,650 sq. m.
7 courtrooms

SERVICES: Architecture
Interior Design
Landscape Architecture
Mechanical/Electrical/Plumbing/
Fire Protection Engineering

AWARDS: American Institute of Architects - AIA Justice Facilities Review
American Institute of Architects / American Association for Justice - Award of Excellence Citation
Associated General Contractors - Excellence in Partnering Award
National Center for State Courts - Retrospective of Courthouse Design, 2001-2010
Western Council of Construction Consumers - Distinguished Project Award","This new courthouse serves as a gateway to an emerging civic center in Pittsburg’s central business district.
This is the pilot project for California’s new Trial Court Facilities Standards. Combining regional materials with crisp, modern architecture, the new justice center establishes an open, transparent presence while satisfying the program needs of a highly advanced regional courthouse.
This building provides traffic, family, criminal trial and arraignment courtrooms. The jury assembly pavilion and entry lobby are carefully isolated, yet can be used after hours by community groups.
Sustainable features include extensive natural light and a green roof system that helps conserve water and cool the building.
Construction was completed in less than two years – on time and on budget.
The project was recognized in the 
AIA’s Justice Facilities Review 2013
, which documents best practices in planning and design for justice architecture: “The jury praised the building’s warmth, sense of openness and the use of natural light throughout. Even the courtrooms have an abundance of natural daylight, as the design team incorporated skylights or high windows that would allow such light without disturbing privacy of the courtroom proceedings.”
 "
Msheireb Downtown Doha Phase Four,"Doha, Qatar",https://www.hok.com/design/service/architecture/msheireb-downtown-doha-phase-four/,"SIZE: 3 million sq. ft. / 280,000 sq. m.
74 acres / 30 hectares

SERVICES: Architecture
Interior Design
Landscape Architecture
Master Planning","Msheireb Heart of Doha will transform the architectural center of the capital city, recreating a way of living rooted in Qatari culture. 
The project uses sustainability and heritage to lead innovation in urban living in Qatar’s capital city. HOK’s design converts the heart of the city into a model community with the amenities of an ideal city, creating a new central destination in Doha. It will transform the urban landscape and to become a model for regional development by developing modern architecture that draws from the history of Doha.
Phase Four consists of a major public plaza and 12 mixed-use buildings. The proposed building uses include commercial office buildings, residential and retail space, a hotel and a group of medical office buildings containing clinical and administrative programs.
HOK’s design draws on Qatari aesthetic principles of simplicity, elegance, calm proportions and balance. Traditional architectural elements used across the development inform the sustainable design techniques. The design takes advantage of climatic conditions to provide cooling and shade. It also incorporates modern techniques such as solar energy.
The master plan observes a series of sustainable design objectives to optimize microclimatic effects, enhance thermal comfort, maximize water and energy efficiency, encourage waste management and reduce carbon emissions."
"Darwin Centre Phase One, Natural History Museum","London, UK",https://www.hok.com/design/service/architecture/darwin-centre-phase-one-natural-history-museum-/,"SIZE: 120,000 sq. ft. / 11,150 sq. m.

SERVICES: Architecture
Museum Exhibit Design
Specialist Storage Design

AWARDS: em>Businessweek / Architectural Record - Innovative Design that Achieves Strategic Goals
CoreNet Global UK Corporate Real Estate Awards - Innovation in Real Estate
em>Environmental Design and Construction magazine - Honorable Mention, Outstanding Commercial Interior","The Darwin Centre Phase One at London’s Natural History Museum won a 
Businessweek / Architectural Record
 award for innovative design that helps organizations achieve their business goals.
As the first phase of The Natural History Museum’s most significant development since it opened in 1881, the Darwin Centre offers visitors rare, behind-the-scenes access to the work and people of the museum. The building provides a new home for more than 22 million zoological specimens and laboratories for 100 scientists.
The team explored technical innovation within a design ethos of lasting civic architecture. The new building promotes research and exhibits its results in an atmosphere of dignified utility that has visual clarity, intellectual rigor and technical consistency.
The contemporary detailing recreates the historic tradition of “architecture parlante” – buildings whose external appearance describes what happens inside. The zoomorphic brackets of the solar wall, the changing appearance created by the sun-tracking metal louvers and the caterpillar-like inflated roof refer directly to the activities inside the building. The design team worked with English Heritage to ensure that the new building would complement nearby historical buildings.
The museum experienced increases in site-wide revenue, on-site functions, visiting scientists and website visitors."
JW Marriott Indianapolis Hotel,"Indianapolis, Indiana, USA",https://www.hok.com/design/service/architecture/jw-marriott-indianapolis-downtown/,"<span style=""font-family: helvetica, arial, sans-serif;"">SIZE</span>: 1 million sq. ft. / 92,900 sq. m.
1,005 guest rooms

SERVICES: Architecture
Master Planning

AWARDS: Americas Lodging Investment Summit - Development of the Year
AIA Indiana - Citation Award, New Construction
ACI Indiana - Project of the Year in the Outstanding Achievements in Concrete
em>Hotel Business magazine - New Construction Deal of the Year","The JW Marriott Indianapolis Downtown is the capstone of a multi-billion-dollar reinvention of the city.
As the largest JW Marriott in the world, this five-star, 34-story hotel houses 1,005 guest rooms and more than 100,000 square feet of meeting space. It serves the Indiana Convention Center, Lucas Oil Stadium and numerous downtown attractions.
HOK’s design strikes a delicate balance between the hotel’s proximity to natural resources and its urban setting. The glimmering, water-like facade reflects the movement of the sun, clouds and the city skyline.
An iconic, jewel-like glass tower rises above a podium to create a memorable new landmark that redefines the Indianapolis skyline. The crescent-shaped tower fronts the city and is pivoted within the site, reinforcing the downtown grid to the east while acknowledging the museum campus gardens and White River to the west and north.
A low-rise masonry and limestone podium wraps the west and south facades, contextually recognizing the adjacent museums and ballpark. The tower interlocks with the podium and presents itself in full height along the east and north facades adjacent to the central business district. A two-story, glass canopy and podium define the main entrance on West Street.
“A simple concept – a dramatic tower rising above the city-scaled plinth,” commented the jury in the AIA Indiana Design Awards. “The curve of the tower was just enough to create a bold presence on the skyline while the articulation of the curtain wall seemed to moderate the scale of the structure; the combination of the opaque podium mass and the glass tower create a building that simultaneously belongs to the earth and the sky; an articulated façade employs subtle, repetitive fins that change with the passing sun; this is a large and complicated program which is well executed both in plan and in massing.”"
Edificio Malecon,"Buenos Aires, Argentina",https://www.hok.com/design/service/architecture/edificio-malecon/,"SIZE: 625,000 sq. ft. / 58,100 sq. m.

SERVICES: Architecture
Interior Design
Landscape Architecture
Master Planning

AWARDS: AIA Committee on the Environment - Top Ten Green Projects
AIA St. Louis & Construction Products Council of St. Louis - Honor Award for Architecture
Argentina Biennale de Architectura for best facility in nation built over a two-year span - Winner","The design team was asked to create “the most technologically advanced” office building in the city within a traditional speculative building budget.
Edificio Malecon has been recognized as a new urban monument at Puerto Madero. The team’s award-winning architectural and urban design addressed the owner’s concerns for energy conservation, profit and long-term operating effectiveness while creating healthy, daylit space for occupants. It has been financially successful while setting a new standard for energy-efficient glass towers in this part of the world.
Edificio Malecon’s site is one of the most prominent, identifiable locations in Puerto Madero, with views of the city center and the active port. The design response was a long, narrow slab that minimizes solar gain and harvesting daylight. The team designed it as a “building in the round,” creating views in all directions. Facades offer floor-to-ceiling glass at each level, maximizing views and access to natural light.
By building with indigenous materials and the best of local technologies, the team was able to build Edificio Malecon for less than half the cost of competitive international-quality projects underway in the city at the same time."
Greenland Dalian East Harbor Tower,"Dalian, China",https://www.hok.com/design/service/architecture/greenland-dalian-east-harbor-tower/,"SIZE: 3.2 million sq. ft. / 297,000 sq. m.
108 stories

SERVICES: Architecture","HOK designed this mixed-use development to be the tallest in northeast China and to create a beacon for Dalian to the world.
Developed for an international competition, HOK’s design creates a gently curving, triangular form. The 108-story tower reflects the boldness and symmetry of a lighthouse while conveying a symbol of strength and grace.
From afar, the singular triangular form of the main tower translates into a beacon with organically shaped openings recognizable from any direction in the city.
The Greenland Dalian East Harbor Tower complex features office space, hotels, residential units and retail space."
Frost Art Museum,"Miami, Florida, USA",https://www.hok.com/design/service/architecture/frost-art-museum/,"SIZE: 46,000 sq. ft. / 4,300 sq. m.

SERVICES: Architecture

AWARDS: em>Miami New Times - Best of Miami Awards, Best Art Museum and Best Place for Kids to Unleash Their Creativity","This museum is the new cultural center of the Florida International University campus and an essential part of Miami’s arts community.
Praised as a “regional showcase” by the Miami Herald, the new Frost Art Museum exhibits work from the university’s permanent collection, temporary exhibitions and current educational programs.
The design employs several sustainable strategies to protect the collections from the southern coastal weather and site conditions.
The nine galleries are grouped in threes, giving the curators great flexibility in display, lighting and scheduling. Skylights allow the museum to exhibit many of the works in UV-filtered natural light. An array of large “petals” controls light levels and colors, preferentially scattering light to display walls."
