Description,Info,Link,Location,Name,Type
"The Fort Bend County Jail expansion and renovation included a 213,000 square foot addition of  jail space and 40,000 square feet of renovation to the original jail facilities, as well as a new connector attaching the expansion to the old facility. The  nine-story tower includes an additional 1,008 beds to provide relief from over-crowding at the existing jail, as well as a monitoring and control center for the jail compound.
Turner updated the jail’s security technologies and amenities, increasing safety, security and efficiency through direct supervision operating methods, and renovated the administrative offices, kitchens and laundry rooms in the jail’s current tower.
","Client: Fort Bend County Commissioners Court
Architect: Rosser International, Inc.
Location: Richmond,  TX
Attributes: Government, Jail, Justice, Texas",http://www.turnerconstruction.com/experience/project/279B/fort-bend-county-jail-renovation-and-expansion,"Richmond, TX",Fort Bend County Jail Renovation and Expansion,government
"This 430,000 square foot direct supervision detention facility is located on 18 acres. The 840-bed facility is one building classified into two major areas. The Administration Area which was built of a structural steel frame with composite deck contains the inmate registry, administrative offices, kitchen, laundry, and main mechanical room. The Housing Units Area consist of four separate housing units or ""pods"" built of a precast concrete frame with hollow core plank deck and structural masonry walls.","Client: Waycor Development Co.
Architect: HOK
Location: Hamtramck,  MI
Attributes: Government, Michigan",http://www.turnerconstruction.com/experience/project/1292/wayne-county-william-dickerson-detention-facility,"Hamtramck, MI","Wayne County, William Dickerson Detention Facility",government
"The Food and Drug Aministration's Center for Drug Evaluation and Research Laboratory is a 140,000 square foot facility. The five-story complex contains offices, support space and a vivarium for the housing and care of animals. This was the second building Turner built for the Food and Drug Administration.
","Client: U.S. General Services Administration
Architect: KlingStubbins
Location: Silver Spring,  MD
Attributes: Federal, Government, Maryland",http://www.turnerconstruction.com/experience/project/6B9/food-and-drug-administration-center-for-drug-evaluation-research-laboratory,"Silver Spring, MD",Food and Drug Administration Center for Drug Evaluation Research Laboratory,government
"The Indiana State Forensic and Health Science Laboratories is a 180,000 square foot, three-story facility shared by a number of agencies including the IUPUI toxicology department, the Indiana State Police, and Indiana State Department of Health. The chemical, biological and ballistics science facility is used for activities involving physical evidence, DNA, biohazards, and firearms testing and evaluation.  The facility is LEED® NC 2.1 Certified.
","Client: Indiana State Office Building Commission
Architect: RATIO Architects
Location: Indianapolis,  IN
Attributes: Government, LEED Certified, Green Building, Indiana",http://www.turnerconstruction.com/experience/project/143C/state-of-indiana-forensic-and-health-sciences-laboratories,"Indianapolis, IN",State of Indiana Forensic and Health Sciences Laboratories,government
"MIT's Brain and Cognitive Sciences Complex is a 414,000 square foot, eight-story project which now serves as the headquarters for the Department of Brain and Cognitive Sciences, the McGovern Institute for Brain Research, and the Picower Institute for Learning and Memory. It is a research building housing wet and dry laboratories as well as animal facilities to support biology, biochemistry, behavioral and cognitive research. The three entities that occupy the building share a common auditorium, café, seminar rooms and a five-story day-lit atrium with a cable stayed skylight bringing natural light deep within the building.  The building is clad in Portuguese limestone with large glass windows and curtainwall.","Client: Massachusetts Institute of Technology
Architect: Goody Clancy
Location: Cambridge,  MA
Attributes: Higher Education, Research & Development, Green Building, Education, Massachusetts",http://www.turnerconstruction.com/experience/project/16E1/massachusetts-institute-of-technology-brain-cognitive-sciences-complex,"Cambridge, MA",Massachusetts Institute of Technology Brain & Cognitive Sciences Complex,education
"Dallas County Community College’s Science and Veterinary Technology Building is a 108,000 square foot facility that houses the Science and Veterinary Technology programs.
The facility includes science and health labs, classrooms and veterinary labs and classrooms as well as faculty offices, storage, receiving and preparation areas to support those programs.
The building’s design is consistent with Cedar Valley College’s existing architectural style and is seeking LEED Gold certification. The building began its first classes in the fall semester of 2009.","Client: Dallas County Community College District
Architect: HOK
Location: Lancaster,  TX
Attributes: Higher Education, Research & Development, LEED Certified, Green Building, Education, Texas",http://www.turnerconstruction.com/experience/project/166E/cedar-valley-college-science-and-veterinary-technology-building,"Lancaster, TX",Cedar Valley College Science and Veterinary Technology Building,education
"The Genetics and Biomaterials Life Sciences Building at Rutgers is a 3-story, 90,000 sqare foot laboratory and research building. The building integrates the instructional and research activities providing a high caliber of interdisciplinary teaching and research. The building is composed of a steel frame structure with concrete poured slabs on metal decking and the exterior of brick, aluminum curtainwall and windows. The labs include detailed metal casework, fume hoods, bio safety cabinets and lab equipment","Client: Rutgers, The State University of New Jersey
Architect: CUH2A, Inc. Architecture Engineering Planning
Location: Piscataway,  NJ
Attributes: Higher Education, Research & Development, Education, New Jersey",http://www.turnerconstruction.com/experience/project/2B19/genetics-and-biomaterials-life-sciences-building-at-rutgers-university,"Piscataway, NJ",Genetics and Biomaterials Life Sciences Building at Rutgers University,education
"Union College performed safety and Americans with Disabilites Act modifications to Richmond Hall that included a new fire sprinkler system, infrastructural upgrades, handicapped-accessible dorm rooms and exterior ramp.","Client: Union College
Architect: Sacco + McKinney Architects, PC
Location: Schenectady,  NY
Attributes: Higher Education, Classroom / Adminstration Building, Education, New York",http://www.turnerconstruction.com/experience/project/1396/union-college-richmond-hall-interiors,"Schenectady, NY",Union College - Richmond Hall Interiors,education
"Grossmont Union High School District Helix High School Phase 2B included upgrades to classroom and restroom facilities that are consistent with the District Standards. Service improvements also included underground infrastructure upgrades.

","Client: Grossmont Union High School District
Architect: HMC Architects
Location: La Mesa,  CA
Attributes: High School, Education, K-12, California",http://www.turnerconstruction.com/experience/project/F52/helix-high-school-phase-2b,"La Mesa, CA",Helix High School Phase 2B,education
"The Eugene Applebaum College Pharmacy Building is a 270,000 square foot facility with six levels: three research and teaching laboratory levels, one level of academic and administrative offices, and two levels of classrooms. The building’s upper three levels have two distinct components: a laboratory block and office block. The lower two floors are accessed by the building’s main street level, which accommodates the majority of classrooms, learning resource center, 200-seat auditorium, and the pharmacy practice drug information center. The student lounge is also located on this level. Major mechanical spaces are located on the lower level and in the penthouse.
The facility is a mixture of educational classroom, library, auditorium, laboratory, and animal research facilities including BSL-1, 2 and 3 labs. The laboratories range in size from 1,000 to 3,000 square feet. Seven (7) new sterilizers were placed throughout the facility. The BSL-1 labs include a combination of biosafety cabinets, chemical fume hoods and casework. The BSL-2 labs include biosafety cabinets, chemical fume hoods along with a sterilizer. Two BSL-3 labs are featured within, which are comprised of four rooms. The gowning room is the entrance point and includes an air shower interlock. The lab has two separate areas with casework and a biosafety hood, including a double door sterilizer for clean and dirty side separation. All labs are supplied with HEPA air and isolated exhaust systems.","Client: Wayne State University
Architect: Henningson
Location: Detroit,  MI
Attributes: Higher Education, Classroom / Adminstration Building, Research & Development, Education, Michigan",http://www.turnerconstruction.com/experience/project/F3B/wayne-state-university-eugene-applebaum-college-of-pharmacy-building,"Detroit, MI","Wayne State University, Eugene Applebaum College of Pharmacy Building",education
"The Hall Center for Humanities is a two-story, 14,700 square foot steel structure with brick and metal panel exterior. The project site was within the shell of the stone walls of the original power plant built for the University in 1887, the oldest structure on the campus. Work involved protection and restoration of the stone façade and construction of the Center within the same building footprint.  The Center now includes a 120-seat conference room, seminar room, serving kitchen, and offices for staff and research fellows.","Client: The University of Kansas
Architect: 360 Architecture
Location: Lawrence,  KS
Attributes: Higher Education, Interiors, Education, Kansas",http://www.turnerconstruction.com/experience/project/81E/university-of-kansas-hall-center-for-the-humanities,"Lawrence, KS",University of Kansas Hall Center for the Humanities,education
"Designed to accommodate 650 students, the new Blue Heron Elementary School is approximately 55,000 square feet. The school includes 24 classrooms, a gymnasium, art and music rooms, a library media center, and a full-service cafeteria.  The 8.75-acre site has off-street parking for 75 cars, primary and intermediate grade play areas, softball, and soccer fields.  New sidewalks are connected to the existing sidewalk in the greenbelt to the west and to sidewalks in the park to the east.","Client: Jefferson County School District
Architect: SLATERPAULL Architects, Inc
Location: Littleton,  CO
Attributes: Education, K-12, Colorado, Primary",http://www.turnerconstruction.com/experience/project/1250/blue-heron-elementary-school,"Littleton, CO",Blue Heron Elementary School,education
"This project involved the addition to and renovation of Old Senior Hall, renamed New Catherine Hall, on the Milton Hershey School's main campus in Hershey, Pennsylvania.
This project included 150,000 square feet of renovations to the old high school building, originally opened in 1934; a new 170,000 square foot building; new athletic fields; and a 200-car parking deck. Work also included the removal and replacement of the exterior wall with a new wall identical in look to the old wall to preserve the historic character of the building. The client stressed the importance of exercising precision and care in the renovation of this structure so as to maintain the fabric and traditions of the Milton Hershey School. Other support functions located within the facility included student health services, a community center, a natatorium, a kitchen, a 1,100-seat auditorium, and a gymnastics area.","Client: Milton Hershey School
Architect: The Ray Group Inc.
Location: Hershey,  PA
Attributes: Interiors, Education, K-12, Pennsylvania",http://www.turnerconstruction.com/experience/project/138/milton-hershey-new-catherine-hall,"Hershey, PA",Milton Hershey New Catherine Hall,education
"Springboro Community Schools managed a district-wide construction program that included the addition of two new elementary schools and expansion of the middle and high schools. Other pieces of the program included new transportation facilities, and storage and restroom facilities at the high school athletic complex.","Client: Springboro Community City School District
Architect: SHP Leading Design
Location: Springboro,  OH
Attributes: Education, K-12, Ohio",http://www.turnerconstruction.com/experience/project/E87/springboro-community-schools,"Springboro, OH",Springboro Community Schools,education
"The Barry University School of Law is a three-story, 32,400 square foot building that includes  large classrooms, seminar rooms, a mock-courtroom, dean suites, human resources offices, academic support spaces, a clinic, a multi-purpose room, and related landscaping/hardscape work.","Client: Barry University
Architect: Hunton Brady Architects
Location: Orlando,  FL
Attributes: Higher Education, Interiors, LEED Certified, Green Building, Design+Build, Education, Florida",http://www.turnerconstruction.com/experience/project/D2/barry-university-dwayne-o-andreas-school-of-law-legal-advocacy-center,"Orlando, FL","Barry University, Dwayne O. Andreas School of Law Legal Advocacy Center",education
"West Clermont Local Schools replaced two of their original school buildings with new LEED-certified elementary schools, through the Ohio School Facilities Commission Expedited Local Partnership Program.
Withamsville-Tobasco Elementary School is a two-story, 68,000 square foot elementary school for 550 students.  Amelia Elementary School is a two-story, 84,000 square foot facility for 700 students.  Both schools include 32 new classrooms, media center, combined cafeteria / stage / auditorium space, and playgrounds for different aged students.","Client: Ohio School Facilities Commission
Architect: SFA Architects, Inc.
Location: Cincinnati,  OH
Attributes: LEED Certified, Green Building, Turner Logistics: Procurement Services, Education, K-12, Ohio, Primary",http://www.turnerconstruction.com/experience/project/E6E/west-clermont-local-schools,"Cincinnati, OH",West Clermont Local Schools,education
"Yale University's 125,000 square foot Silliman College renovation included improvements to Byers Hall, Buildings B, C, and D, and the Master’s house. These facilities house student and non-student residential space, classrooms, administrative offices and student activity areas as well as kitchen and dining space.","Client: Yale
Architects: KBT, KieranTimberlake
Location: New Haven,  CT
Attributes: Building Information Modeling (BIM), Higher Education, Classroom / Adminstration Building, Education, Connecticut",http://www.turnerconstruction.com/experience/project/1C3/yale-university-silliman-college-renovations,"New Haven, CT",Yale University - Silliman College Renovations,education
"This 20,000 square foot facility is the home of Santa Monica College's performing arts program. The building includes a 264-seat performance theatre with backstage support areas, a box office, classrooms, offices and an additional performance space.
The Performance Arts Center expands Santa Monica's teaching capabilities and reinforces the program's presence on campus.
","Client: Santa Monica College
Architect: Leo A Daly
Location: Santa Monica,  CA
Attributes: Community College, Higher Education, Education, California",http://www.turnerconstruction.com/experience/project/CF6/santa-monica-college-performing-arts-center,"Santa Monica, CA",Santa Monica College Performing Arts Center,education
"The Antoinette Iadarola Center is a 60,770 square foot facility on the Cabrini College campus.  The steel-framed building is sited so as to complete one side of a new quadrangle adjacent to two original campus buildings (Grace Hall and the Chapel).  The facility provides a socially interactive space in the three-story lobby area, and houses chemistry, biology, microbiology and other laboratories, as well as Cabrini’s information technology program classrooms and an auditorium.  A partial basement includes storage, mechanical and electrical rooms, while an astronomy observation deck is included at the penthouse level.
","Client: Cabrini University
Architect: EYP Architecture & Engineering
Location: Wayne,  PA
Attributes: Higher Education, Interiors, Classroom / Adminstration Building, Education, Pennsylvania",http://www.turnerconstruction.com/experience/project/19B/cabrini-college-antoinette-iadarola-center-for-science-education-and-technology,"Wayne, PA",Cabrini College Antoinette Iadarola Center for Science Education and Technology,education
"The Fisheries and Oceanography project consists of two academic and research buildings at the University of Washington. The Fisheries building is a three-story, 126,000 square foot  structure housing administrative offices, research labs, support spaces, class and conference rooms.
The Oceanography building is a five-story, 106,000 square foot structure also housing administrative offices, research labs, lab support spaces and conference rooms. Apparatus assembly and staging areas are included in this building.","Client: The University of Washington
Architect: Bohlin Cywinski & Jackson
Location: Seattle,  WA
Attributes: Higher Education, Classroom / Adminstration Building, Education, Washington",http://www.turnerconstruction.com/experience/project/4CA/university-of-washington-fisheries-and-oceanography-buildings,"Seattle, WA",University of Washington - Fisheries and Oceanography Buildings,education
"Peck Elementary School is a 115,000 square foot replacement school for the Houston Independent School District under the District’s 2007 Bond Program. The project included demolition of the original facility and construction of a two-story school. The school houses 50 classrooms, 15 administrative offices, a cafeteria and food service facility, auditorium and library which will serve the students from two consolidated elementary schools. Outdoor recreational facilities include a playground, walking track and covered play area. This project, located on a 7 acre site, is seeking LEED certification.","Client: Houston Independent School District
Architect: Taft / Hermes
Location: Houston,  TX
Attributes: Green Building, Education, K-12, Texas, Primary",http://www.turnerconstruction.com/experience/project/2C73/lora-b-peck-elementary-school,"Houston, TX",Lora B. Peck Elementary School,education
"Lathrop, in partnership with Barton Malow and R. Gant LLC, was selected as Construction Manager for the Toledo Public School 45 building district-wide program.  Programming identifies the cost of the renovations, expansions, and new buildings to be approximately $640 million.  Construction began mid 2004 and peaked with the opening of 11 schools for the 2007-2008 school year.  Building sizes range from 44,363 square foot to 301,801 square foot with capacity of 350 to 1,808 students respectively.
Segment IV of this project consisted of the following 8 elementary schools:
Arlington Elementary:  Grades K-5 facility.  The 43,750 square foot school has a capacity for 350 students.
Grove Patterson Elementary:  Grades K-8 facility.  The 63,281 square foot school has a capacity for 450 students.
Martin Luther King Jr. Elementary:  Grades K-5 facility.  The 43,750 square foot school has a capacity for 350 students.  The building was built on part of the Toledo Parklands and is part of a land swap with the city.   Upon completion, the existing school was converted to a parkland.
Raymer Elementary: Grades K-5 facility.  The 59,197 square foot school has a capacity for 495 students.
Sherman Elemenatary: Grades K-5 facility.  The 49,375 square foot facility has the capacity for 395 students.  The building has a 2,946 square foot Boys and Girls Club attached.
Spring Elementary: Grades K-5 facility.  The 49,375 square foot school has a capacity for 395 students.
Westfield Elementary: Grades K-5 facility.  This 43,750 square foot school has a capacity for 350 students.
Whittier Elementary: Grades K-5 facility.  This 48,500 square foot facility has a capacity for 388 students.","Client: Ohio School Facilities Commission
Architect: Allied Toledo Architects, LLC
Location: Toledo,  OH
Attributes: Education, K-12, Ohio, Primary",http://www.turnerconstruction.com/experience/project/A88/toledo-public-schools-segment-iii,"Toledo, OH",Toledo Public Schools - Segment III,education
"Southern Methodist University’s (SMU) Umphrey Lee Center is known as the prestigious banquet hall and event hosting facility on the campus. The facility hosts formal events for the school as well as for dignitaries visiting the Dallas area.
The renovation of the facility enhanced the décor with high-end millwork, German silver chandeliers, custom-woven carpets and glass fiber reinforced gypsum (GFRG) medallions, column caps and crown molding to create the Gregorian architectural features that demonstrate the longevity of the institution.
The Umphrey Lee Center also features an audio/visual (AV) system to accommodate the various needs of the facility - from meetings and lectures to receptions and formal events. Special care was taken when installing this system to facilitate future updates to keep up with the pace of technology.","Client: Southern Methodist University
Architect: Hahnfeld Hoffer Stanford
Location: Dallas,  TX
Attributes: Higher Education, Education, Texas",http://www.turnerconstruction.com/experience/project/2660/southern-methodist-university-umphrey-lee-center,"Dallas, TX",Southern Methodist University - Umphrey Lee Center,education
"Turner has been building the future of the Hilliard City School District since 1996 and was selected to build the Distric't's third high school and a new elementary school. The Hilliard Bradley High School is situated on 100-acres with 320,000 square feet of academic and athletic program space accommodating more than 1,800-students.
The Washington Elementary School is a single story, 63,700 square foot academic facility accommodating 600-students.","Client: Hilliard City School District
Architects: Fanning Howey Associates, Inc., Feinknopf, Macioce & Schappa
Location: Hilliard,  OH
Attributes: High School, Education, K-12, Ohio",http://www.turnerconstruction.com/experience/project/8A6/hilliard-bradley-high-school-and-washington-elementary-school,"Hilliard, OH",Hilliard Bradley High School and Washington Elementary School,education
,"Client: The University of Washington
Architect: Mesher Shing McNutt
Location: Seattle,  WA
Attributes: Higher Education, Interiors, Education, Washington",http://www.turnerconstruction.com/experience/project/408/mcmahon-dining-hall-remodel,"Seattle, WA",McMahon Dining Hall Remodel,education
"The Smilow Cancer Hospital  is a 14-story, 511,000 square foot comprehensive cancer center. The center includes 116 beds, 10 operating rooms, 56 ICU beds and 12 diagnostic imaging rooms including four MRI's and one MRI/OR, four linear accelerators and a seventh floor healing garden.","Client: Yale-New Haven Hospital
Architect: SBRA
Location: New Haven,  CT
Attributes: Building Information Modeling (BIM), Healthcare, LEED Certified, Green Building, Hospital, Turner Logistics: Procurement Services, Connecticut",http://www.turnerconstruction.com/experience/project/AC/smilow-cancer-hospital-at-yale-new-haven,"New Haven, CT",Smilow Cancer Hospital at Yale-New Haven,healthcare
"Located on the National Naval Medical Center Campus, the National Intrepid Center of Excellence is a two-story, 78,000 square foot facility dedicated to the research, diagnosis and treatment of military personnel/veterans suffering from traumatic brain injuries and psychological health issues.
The treatment areas include an occupational therapy gym, a vocational rehabilitation space, an outdoor rehabilitation space, a vehicle simulator, speech/hearing/sight rehabilitation area, a virtual reality room and a firearm simulator. There is also a café and a lounge for family members.
The interior presents a calming environment that is supported by a Central Park with natural vegetation, rock features and wooden walkways.","Client: Intrepid Fallen Heroes Fund
Architect: SmithGroupJJR
Location: Bethesda,  MD
Attributes: Building Information Modeling (BIM), Healthcare, LEED Certified, Green Building, Hospital, Maryland",http://www.turnerconstruction.com/experience/project/12E0/national-intrepid-center-of-excellence-at-bethesda-naval-hospital,"Bethesda, MD",National Intrepid Center of Excellence at Bethesda Naval Hospital,healthcare
