Content,Link,Stats,Type
"Gilbane provided preconstruction and construction management agency services for the replacement of the Engine Company No. 4 Firehouse in Bristol, Connecticut. The new station consists of two vehicle bays, firefighter quarters, storage areas for apparatus, equipment, and uniforms, and training center space, which can also be used as an emergency shelter and/or community room.
The renovation included approximately 3,400 SF of space, while the addition provides 6,050 SF of supplementary space.
Additionally, Gilbane completed the installation of various associated equipment, including emergency back-up generators and necessary equipment to enable the facility to serve as an auxiliary Emergency Operations Center (EOC).",https://www.gilbaneco.com/project/bristol-fire-station-engine-company-no-4/,"Client Name: City of Bristol
Project Name: Bristol Fire Station, Engine Company No. 4
Location: Bristol, CT
Architect: Kaestle Boos Associates, Inc.
Size: 9,450 SF
Date Completed: 8 months
Type of construction: Renovation, Addition
Delivery method: CM Agency
Professional Services: Preconstruction
																					BIM",hotel-residential
"Gilbane provided preconstruction and construction management agency services for the replacement of the Engine Company No. 4 Firehouse in Bristol, Connecticut. The new station consists of two vehicle bays, firefighter quarters, storage areas for apparatus, equipment, and uniforms, and training center space, which can also be used as an emergency shelter and/or community room.
The renovation included approximately 3,400 SF of space, while the addition provides 6,050 SF of supplementary space.
Additionally, Gilbane completed the installation of various associated equipment, including emergency back-up generators and necessary equipment to enable the facility to serve as an auxiliary Emergency Operations Center (EOC).",https://www.gilbaneco.com/project/bristol-fire-station-engine-company-no-4/,"Client Name: City of Bristol
Project Name: Bristol Fire Station, Engine Company No. 4
Location: Bristol, CT
Architect: Kaestle Boos Associates, Inc.
Size: 9,450 SF
Date Completed: 8 months
Type of construction: Renovation, Addition
Delivery method: CM Agency
Professional Services: Preconstruction
																					BIM",hotel-residential
"Gilbane has provided  construction management services for the  new 32,000-square-foot, two-story City Hall building located in Palm Coast Central Park area.  The New City Hall  houses the offices of  the city manager, building/planning department, code enforcement, engineering, IT, customer service, human resources, financing and accounting.  Site work  included surface parking for city employees and visitors, underground utilities and landscaping.  The building structure is comprised of tilt-up concrete walls that  allow fast tracking of the schedule and structural steel framing, joists and metal deck, TPO roofing and aluminum storefront  windows and entrances.  A prominent feature of the  main entrance on the north elevation is  a large clock tower that extends 20 feet above the building’s main roof.
This project was initially conceived four years ago but was put on hold for nearly 3 years.  During that time the owner’s budget for the project was reduced by 30 percent.  Gilbane worked closely with the architect and owner to develop a phased construction approach to allow the owner to prioritize and get essential programming to meet their needs within the current available funds and allow them a path to complete other phases as funding became available.  Gilbane also created a bid strategy that included 15 Bid Alternates and 64 Value Engineering options to further assist the Owner in maximizing the scope to be included in the first phase of work.  Due to the political nature of the project the Owner was very interested in maximizing local subcontractor participation.  Gilbane conducted local subcontractor workshops and was able to achieve nearly 50 percent local and market area participation.",https://www.gilbaneco.com/project/city-of-palm-coast-city-hall/,"Client Name: City of Palm Coast Florida
Project Name: City Hall
Location: Palm Coast, FL
Architect: C.T. Hsu
Size: 32,000 Square Feet
Type of construction: New
Delivery method: CM at Risk
Professional Services: Preconstruction
																					Value Management
Sustainable Features: LEED Certification Goal",hotel-residential
"Gilbane has provided  construction management services for the  new 32,000-square-foot, two-story City Hall building located in Palm Coast Central Park area.  The New City Hall  houses the offices of  the city manager, building/planning department, code enforcement, engineering, IT, customer service, human resources, financing and accounting.  Site work  included surface parking for city employees and visitors, underground utilities and landscaping.  The building structure is comprised of tilt-up concrete walls that  allow fast tracking of the schedule and structural steel framing, joists and metal deck, TPO roofing and aluminum storefront  windows and entrances.  A prominent feature of the  main entrance on the north elevation is  a large clock tower that extends 20 feet above the building’s main roof.
This project was initially conceived four years ago but was put on hold for nearly 3 years.  During that time the owner’s budget for the project was reduced by 30 percent.  Gilbane worked closely with the architect and owner to develop a phased construction approach to allow the owner to prioritize and get essential programming to meet their needs within the current available funds and allow them a path to complete other phases as funding became available.  Gilbane also created a bid strategy that included 15 Bid Alternates and 64 Value Engineering options to further assist the Owner in maximizing the scope to be included in the first phase of work.  Due to the political nature of the project the Owner was very interested in maximizing local subcontractor participation.  Gilbane conducted local subcontractor workshops and was able to achieve nearly 50 percent local and market area participation.",https://www.gilbaneco.com/project/city-of-palm-coast-city-hall/,"Client Name: City of Palm Coast Florida
Project Name: City Hall
Location: Palm Coast, FL
Architect: C.T. Hsu
Size: 32,000 Square Feet
Type of construction: New
Delivery method: CM at Risk
Professional Services: Preconstruction
																					Value Management
Sustainable Features: LEED Certification Goal",hotel-residential
"A new General Assembly Office Building (GAB) will be built for the Virginia state legislature, replacing the 420,000 square feet of existing buildings on the corner of Ninth and Broad Streets in downtown Richmond, VA. Before construction began on the new building, the existing buildings underwent hazardous material abatement and demolition. Gilbane was also tasked with several supporting and phased renovations to provide adequate swing space for the General Assembly. Renovations to the Monroe Building, Main Street Center and the Pocahontas building occurred concurrently while portions of the buildings remained occupied. The fast-tracked renovations started in 2016 and were complete before the official groundbreaking of the General Assembly building in August 2017.
The new building’s design will reflect the historic nature of its surroundings in Capital Square, incorporating surrounding architectural elements. To accomplish this, Gilbane is preserving the historic façade throughout construction, and will incorporate it into the new, but classic design. The original six-story 1912 building was built with an elaborate exterior limestone façade that features three-story Corinthian-style pilasters. In October 2017, the team began constructing a temporary steel bracing tower to support the soon freestanding façade. This effort involved the erection of nearly 370 tons of steel columns, beams, outriggers and whalers; as well as the drilling and pouring of three-foot diameter concrete caissons approximately 60 feet below the site. Seismographs to monitor vibrations and anchored survey points were installed to the façade during demolition to ensure the limestone façade did not move during this process. By the end of March 2018, the 105-year-old façade had been cut away and was standing on its own for the first time, protected by an intricate framework of steel.
The new General Assembly Building is currently under construction. It is projected to be complete by 2021. The lower four floors of the 400,000-square-foot building will include various public functions, including committee rooms, a cafeteria and other meeting facilities. Above the fourth floor will be legislator and staff offices and other meeting spaces. The design features a stepped exterior to resemble other traditional architecture found in Richmond.",https://www.gilbaneco.com/project/general-assembly-building-of-virginia/,"Client Name: Virginia Department of General Services
Project Name: General Assembly Building
Location: Richmond, VA
Architect: Robert A.M. Stern Architects LLP (primary)
Architect: Glave & Holmes Architecture (associate architect)
Size: 400,000 SF
Date Completed: In Progress
Type of construction: New, Renovation
Delivery method: CM at Risk/GMP
Professional Services: Targeting LEED Certification
																					Historic Preservation
Awards: ENR MidAtlantic 2017 Top Starts",hotel-residential
"A new General Assembly Office Building (GAB) will be built for the Virginia state legislature, replacing the 420,000 square feet of existing buildings on the corner of Ninth and Broad Streets in downtown Richmond, VA. Before construction began on the new building, the existing buildings underwent hazardous material abatement and demolition. Gilbane was also tasked with several supporting and phased renovations to provide adequate swing space for the General Assembly. Renovations to the Monroe Building, Main Street Center and the Pocahontas building occurred concurrently while portions of the buildings remained occupied. The fast-tracked renovations started in 2016 and were complete before the official groundbreaking of the General Assembly building in August 2017.
The new building’s design will reflect the historic nature of its surroundings in Capital Square, incorporating surrounding architectural elements. To accomplish this, Gilbane is preserving the historic façade throughout construction, and will incorporate it into the new, but classic design. The original six-story 1912 building was built with an elaborate exterior limestone façade that features three-story Corinthian-style pilasters. In October 2017, the team began constructing a temporary steel bracing tower to support the soon freestanding façade. This effort involved the erection of nearly 370 tons of steel columns, beams, outriggers and whalers; as well as the drilling and pouring of three-foot diameter concrete caissons approximately 60 feet below the site. Seismographs to monitor vibrations and anchored survey points were installed to the façade during demolition to ensure the limestone façade did not move during this process. By the end of March 2018, the 105-year-old façade had been cut away and was standing on its own for the first time, protected by an intricate framework of steel.
The new General Assembly Building is currently under construction. It is projected to be complete by 2021. The lower four floors of the 400,000-square-foot building will include various public functions, including committee rooms, a cafeteria and other meeting facilities. Above the fourth floor will be legislator and staff offices and other meeting spaces. The design features a stepped exterior to resemble other traditional architecture found in Richmond.",https://www.gilbaneco.com/project/general-assembly-building-of-virginia/,"Client Name: Virginia Department of General Services
Project Name: General Assembly Building
Location: Richmond, VA
Architect: Robert A.M. Stern Architects LLP (primary)
Architect: Glave & Holmes Architecture (associate architect)
Size: 400,000 SF
Date Completed: In Progress
Type of construction: New, Renovation
Delivery method: CM at Risk/GMP
Professional Services: Targeting LEED Certification
																					Historic Preservation
Awards: ENR MidAtlantic 2017 Top Starts",hotel-residential
"The City of Hartford engaged Gilbane to provide construction management services for the new Public Safety Complex. The project encompassed the construction of a new four-story building and a new two-level precast parking structure. The new Complex can accommodate over 500 police, fire, and emergency services personnel and is located on a six-acre parcel that is part of an overall 26-acre redevelopment initiative in Hartford.
The initial phase of the work entailed demolition of the existing buildings and required extensive coordination due to its location in a tight urban neighborhood bordering the main Amtrak rail line serving Hartford. Seismic monitoring was necessary to ensure uninterrupted operation to these businesses.
In order for the Complex to serve as an Emergency Operations Shelter and 911 dispatch center, emergency energy systems were crucial. The facility is served with a pillar 1670 KVA uninterruptable power supply providing power until the generator engages and the 800 KW generator can support the entire facility. Additionally, a 400 KW UTC fuel cell serves as a renewable energy resource with generator load shedding ability to assist electrical grid impacts during peak demand. The fuel cell also delivers “free” cooling through the absorption chiller during normal operation.",https://www.gilbaneco.com/project/hartford-public-safety-complex/,"Client Name: City of Hartford
Project Name: Hartford Public Safety Complex
Location: Hartford, CT
Architect: JCJ Architecture
Size: 154,000 Square Feet
Date Completed: 36 Months
Type of construction: Addition, Renovation
Delivery method: CM at Risk
Professional Services: Pre-Design Feasibility and Planning
																					Architecture
																					Interior Design
																					Project management
																					Construction Documents
																					Construction Administration
																					Regulatory Approvals
																					Sustainable Design
																					Graphic/ Environmental Branding
Awards: AGC of Connecticut – Build Connecticut Award of Merit",hotel-residential
"The City of Hartford engaged Gilbane to provide construction management services for the new Public Safety Complex. The project encompassed the construction of a new four-story building and a new two-level precast parking structure. The new Complex can accommodate over 500 police, fire, and emergency services personnel and is located on a six-acre parcel that is part of an overall 26-acre redevelopment initiative in Hartford.
The initial phase of the work entailed demolition of the existing buildings and required extensive coordination due to its location in a tight urban neighborhood bordering the main Amtrak rail line serving Hartford. Seismic monitoring was necessary to ensure uninterrupted operation to these businesses.
In order for the Complex to serve as an Emergency Operations Shelter and 911 dispatch center, emergency energy systems were crucial. The facility is served with a pillar 1670 KVA uninterruptable power supply providing power until the generator engages and the 800 KW generator can support the entire facility. Additionally, a 400 KW UTC fuel cell serves as a renewable energy resource with generator load shedding ability to assist electrical grid impacts during peak demand. The fuel cell also delivers “free” cooling through the absorption chiller during normal operation.",https://www.gilbaneco.com/project/hartford-public-safety-complex/,"Client Name: City of Hartford
Project Name: Hartford Public Safety Complex
Location: Hartford, CT
Architect: JCJ Architecture
Size: 154,000 Square Feet
Date Completed: 36 Months
Type of construction: Addition, Renovation
Delivery method: CM at Risk
Professional Services: Pre-Design Feasibility and Planning
																					Architecture
																					Interior Design
																					Project management
																					Construction Documents
																					Construction Administration
																					Regulatory Approvals
																					Sustainable Design
																					Graphic/ Environmental Branding
Awards: AGC of Connecticut – Build Connecticut Award of Merit",hotel-residential
"Gilbane provided
for the New York State Office of General Services on this multi-phased restoration construction project of the historic NYS Capitol roof. The roof consists of an intricate network of roofing areas and systems including a large hipped slate roof with multiple granite dormers and four large granite chimneys, two smaller granite pyramid roofs as well as multiple smaller slate and built up membrane roofs with multiple dormers and penthouses built within.",https://www.gilbaneco.com/project/new-york-state-capitol-roof-renovations/,"Client Name: New York Office of General Services (OGS)
Project Name: New York State Capitol Roof Renovation
Location: Albany, NY
Architect: Simpson Gumpertz & Heger
Date Completed: November 2012
Type of construction: Renovation and historic restoration
Delivery method: CM Agency
Professional Services: Schedule Risk Analysis
																					Procurement
																					Lean construction
																					Integrated project services
																					Preconstruction",hotel-residential
"Gilbane provided
for the New York State Office of General Services on this multi-phased restoration construction project of the historic NYS Capitol roof. The roof consists of an intricate network of roofing areas and systems including a large hipped slate roof with multiple granite dormers and four large granite chimneys, two smaller granite pyramid roofs as well as multiple smaller slate and built up membrane roofs with multiple dormers and penthouses built within.",https://www.gilbaneco.com/project/new-york-state-capitol-roof-renovations/,"Client Name: New York Office of General Services (OGS)
Project Name: New York State Capitol Roof Renovation
Location: Albany, NY
Architect: Simpson Gumpertz & Heger
Date Completed: November 2012
Type of construction: Renovation and historic restoration
Delivery method: CM Agency
Professional Services: Schedule Risk Analysis
																					Procurement
																					Lean construction
																					Integrated project services
																					Preconstruction",hotel-residential
"Gilbane partnered with UCAN to provide construction management services for the 54,500 SF Diermeier Therapeutic Youth Home (Phase I); and new 31,200 SF John D. and Alexandra C. Nichols Center Program Services and Headquarters Building (Phase II) located on a seven-acre urban site.
The three-story Diermeier Therapeutic Youth Home includes 70 rooms organized into dormitories for youth that have experienced severe violence, trauma, neglect and abuse. Each dormitory features single-occupancy bedrooms, a living room, restrooms and study areas, all connected to resident staff offices. The building includes a central dining room, full-service commercial kitchen, multipurpose gymnasium and fitness room. Social worker and therapist offices are also located throughout the facility, with group rooms that focus on art, computer science, group counseling and education.
The 1,500 SF full-service institutional kitchen includes all the equipment and facilities necessary to properly receive and store food and prepare meals by UCAN’s full-time kitchen staff. Meals are served to the residents in the 1,200 SF communal dining area via a 300 SF servery, which includes coolers, warmers and plate and utensil storage. A walk-in cooler, walk-in freezer and kitchen manager’s office are also included to support the food service operations.
The new two-story Nichols Center building includes administrative, violence prevention program and training space. It also provides UCAN with space to host large numbers of staff and/or external partners in one room for events such as trainings and workshops. The space is also available for community residents and organizations.",https://www.gilbaneco.com/project/ucan-city-campus/,"Client Name: UCAN
Project Name: UCAN City Campus
Location: Chicago, IL
Architect: Moody/Nolan LTD | Johnson & Lee Ltd.
Size: 85,700 SF
Date Completed: September 2016
Type of construction: New
Delivery method: CM at Risk/GMP
Professional Services: Preconstruction",hotel-residential
"Gilbane partnered with UCAN to provide construction management services for the 54,500 SF Diermeier Therapeutic Youth Home (Phase I); and new 31,200 SF John D. and Alexandra C. Nichols Center Program Services and Headquarters Building (Phase II) located on a seven-acre urban site.
The three-story Diermeier Therapeutic Youth Home includes 70 rooms organized into dormitories for youth that have experienced severe violence, trauma, neglect and abuse. Each dormitory features single-occupancy bedrooms, a living room, restrooms and study areas, all connected to resident staff offices. The building includes a central dining room, full-service commercial kitchen, multipurpose gymnasium and fitness room. Social worker and therapist offices are also located throughout the facility, with group rooms that focus on art, computer science, group counseling and education.
The 1,500 SF full-service institutional kitchen includes all the equipment and facilities necessary to properly receive and store food and prepare meals by UCAN’s full-time kitchen staff. Meals are served to the residents in the 1,200 SF communal dining area via a 300 SF servery, which includes coolers, warmers and plate and utensil storage. A walk-in cooler, walk-in freezer and kitchen manager’s office are also included to support the food service operations.
The new two-story Nichols Center building includes administrative, violence prevention program and training space. It also provides UCAN with space to host large numbers of staff and/or external partners in one room for events such as trainings and workshops. The space is also available for community residents and organizations.",https://www.gilbaneco.com/project/ucan-city-campus/,"Client Name: UCAN
Project Name: UCAN City Campus
Location: Chicago, IL
Architect: Moody/Nolan LTD | Johnson & Lee Ltd.
Size: 85,700 SF
Date Completed: September 2016
Type of construction: New
Delivery method: CM at Risk/GMP
Professional Services: Preconstruction",hotel-residential
