Titles,Location,Client,Type,Info,Leader,Introduction
Frodsham Street Public Realm Works,"Chester, UK",Cheshire West and Chester Council,"Bridges, Roads &amp; Highways
Civil Infrastructure
Heritage / Historic Preservation
Landscape Architecture
Living+
Master Planning
Mobility+
Placemaking
Planning &amp; Urban Design
Project / Programme Management
Public Outreach
Retail
Traffic Engineering
Transportation Planning",Completed: 2017,David McKenna: Studio Associate Director,"Cheshire West and Chester Council appointed IBI Group and Mott MacDonald to redesign the Frodsham Street in Chester, UK, delivering a Pedestrian Priority Scheme dedicated to creating an area to be used by pedestrians whilst accommodating traffic."
Core Condos,"Toronto, ON",CentreCourt Inc.,"Architecture
High Rise Residential
Living+
Residential","Size: 153,000 sq ft
Storeys: 26
Units: 233
Completed: 2017","Steve Kuo: Associate Director | Practice Lead, Architecture
Jeff Cogliati: Associate | Manager, Architecture","IBI Group provided architecture services for the design of Core Condos in Toronto, a 24-storey condominium tower with a three-storey podium. Cherishing the city's past, the design incorporates the surrounding heritage properties to create a memorable architectural ensemble."
INDX Condos,"Toronto, ON",CentreCourt Inc.,"Architecture
High Rise Residential
Living+
Residential","Size: 500,000 sq ft
Storeys: 54
Units: 798
Completed: 2016","Sol Wassermuhl: Director
Steve Kuo: Associate Director | Practice Lead, Architecture","IBI Group provided architecture services for the design of INDX Condos, a 54-storey, mixed-use building in Toronto's downtown core. Tucked behind the historic Graphic Arts building, our design reflects the rich history of the block, and ties-in with the classic architecture of the 1912-built art studio."
Maple Leaf Square,"Toronto, ON","H&R Properties, Lanterra Development, Cadillac Fairview & Maple Leaf Sport and Entertainment","Architecture
Hospitality
Mixed Use
Office
Residential
Retail","LEED: Silver
Size: 1,250,000 sq ft
Units: 900
Completed: 2010","Mansoor Kazerouni: Global Director, Buildings | IBI Living+
Vlad Losner: Director | Sr. Practice Lead, High Rise Residential
Steve Kuo: Associate Director | Practice Lead, Architecture","IBI Group provided architectural services for the design of Maple Leaf Square, a landmark, mixed-use complex in the heart of downtown Toronto."
The Montefiore Hospital,"Brighton, UK",Spire Healthcare (Montefiore House Ltd. Joint Venture),"Acute Care
Ambulatory Care
Architecture
Green
Healthcare
Heritage / Historic Preservation
Interiors
Oncology","BREEAM: Very Good
Size: 77,952 sq ft
Completed: 2012",,IBI Group provided architecture and interior design services for the careful remodeling and extension of a Victorian storehouse into a world-class private health facility with a unique identity.
Mabel Mattos Elementary School,"Milpitas, CA",Milpitas Unified School District,"Architecture
Interiors
K-12 Education
Master Planning
New Projects","Area: 6.7 acre site
Storys: 2
Completed: 2018","Stephen Sowa: Associate Principal | Education, Buildings",IBI Group provided architectural services for the design of a new K-6 school to serve the increasing student population in Milpitas. The design team worked with a number of stakeholders to envision a 21st Century school that presents a collaborative learning environment for students and teachers.
Transport for London’s Travel Demand Management Programme,"London, UK",Transport for London,"Active Transportation
Bridges, Roads &amp; Highways
Civic &amp; Government
Data Analytics
Operations Centre
Project / Programme Management
Rail
Research &amp; Development
Spatial Intelligence
Strategic Planning
Systems
Transit Facilities
Transit Planning
Transit Technology
Traveller Information",Status: Ongoing,"Graeme Scott: Director | UK Sector Lead, Intelligence
Duncan Elder: Director - UK Solutions Lead, Intelligence","IBI Group has worked with Transport for London (TfL) since 2012, first establishing a Travel Demand Management (TDM) programme, and transitioning to work with the TfL team to deliver solutions and interventions to the business and partners in response to travel demand on the public transport and road networks in London and beyond."
Minto Yorkville Park,"Toronto, ON",Minto Group,"Architecture
High Rise Residential
Interiors
Landscape Architecture
Planning &amp; Urban Design
Retail","LEED: Silver
Storeys: 25
Size: 210,000 sq ft
Status: Ongoing","Gianni Ria: Director | Sr. Practice Lead, High Rise Residential
Jennifer Lem: Associate | Manager, Interior Design
Pauline Ho: Associate | Manager, Landscape Architecture
Tom Tsaktsiris: Associate | Manager, Architecture","IBI Group provided architecture, landscape and interior design services for this luxurious high-rise condominium. Located in one of Toronto's most sought-after neighbourhoods, residents will experience the decadence and glamour of Yorkville within steps of their private residence."
Masdar Institute of Science and Technology – Housing and Residential Development,"Abu Dhabi, UAE",Masdar Institute,"Community / Recreational Facilities
Green
Innovation Districts
Land Use Planning
Landscape Architecture
Mixed Use
Office
Parks
Residential
Retail","Size: 100,840 sq m
Neighborhoods: 11
Status: Ongoing","Phil Colleran: Associate Director, Sub-Sector Lead","Masdar City, a new city development in Abu Dhabi, UAE is designed to become the world's most sustainable eco-city. IBI Group has provided design services for the Institute of Science and Technology Housing and Residential Development, the first sustainable community project within the city."
City of Edmonton Co-Located Dispatch and Emergency Operations Centre,"Edmonton, AB",City of Edmonton,"Architecture
BIM / 3D Visualization
Civil Engineering
Interiors
Landscape Architecture
Operations Centre
Planning &amp; Urban Design
Systems Engineering","Storeys: 3
LEED: Silver (targeted)
Size: 5,821 sq m
Status: Ongoing","Peter Bull: Director
Brad Kimball: Director | Sr. Practice Lead, Architecture","Edmonton's new Co-Located Dispatch and Emergency Operations Centre supports quick, concise first responders' communications between public and emergency agencies during extreme heightened public emergency events, as well as daily responder and dispatcher needs. This project is an extension of consulting services that IBI Group provides to operations centres, which goes beyond the traditional systems and interior design to encompass complete building layout and full architectural design."
The Spot,"Vancouver, BC",Shato Holdings Ltd.,"Architecture
High Rise Residential
Living+
Mid Rise Residential
Mixed Use
New Projects
Residential
Retail","LEED: Gold
Area: 23,313 sq ft
Storeys: 8
Completed: 2018","Gwyn Vose: Director | Sr. Practice Lead, Architecture","Designed by IBI Group, The Spot is a new mixed-use development in Vancouver's trendy Cambie Village that brings stunning residences to an area surrounded by interesting boutiques, eclectic eateries, and access to nearby bike lanes and the Canada Line of Vancouver's SkyTrain."
Metrolinx Network Operations Centre,"Oakville, ON",Metrolinx,"BIM / 3D Visualization
Bus Rapid Transit
Civic &amp; Government
Civil Engineering
Electrical Engineering
Engineering
Interiors
Landscape Architecture
Light Rail Transit
Mechanical Engineering
Mobility+
Municipal Services
New Projects
Operations
Operations Centre
Project / Programme Management
Smart Cities
Structural Engineering
Sustainability &amp; Environmental Management
Systems
Systems Engineering
Systems Integration
Transit Facilities
Transit Technology
Traveller Information","Size: 63,000 sq ft
LEED: Gold
Completed: 2018","Kevin Bebenek: Regional Director, Canada East
David Kamnitzer: Director | Sr. Practice Lead, Intelligent Systems
Alexandre Haddad: Director | Sr. Practice Lead, Civic/Industrial Buildings","IBI Group provided architectural and engineering design services for a new Network Operations Centre in Oakville, ON designed to consolidate regional rail and bus operations management, and accommodate future growth in the region."
TCA Toll Roads Mobile Application,"Orange County, CA",Transportation Corridor Authority (TCA),"Advanced Traffic Management System
Mobile Technology
Mobility+
Operations
Revenue / Tolling
Software as a Service","Completed: Ongoing
State Routes: 73, 133, 241 & 261",Stacy Unholz: Sr. Project Manager,"IBI Group developed, deployed and operates the mobile application for The Toll Roads of Orange County under contract to the Transportation Corridor Authority (TCA)."
Cincinnati Zoo – Exhibits,"Cincinnati, OH",Cincinnati Zoo & Botanical Garden,"Bridge Engineering
Civil Engineering
Civil Infrastructure
Development Engineering
Engineering
Geomatics / Land Surveying
Green
Master Planning
Parking
Parks
Project / Programme Management
Solar","Completion: Ongoing
LEED: Platinum, Hippo Cove 
LEED: Gold, Cat Canyon","Jeffrey B. Koehn: Associate Director | US Transportation Lead, Infrastructure","For more than 15 years, the Cincinnati Zoo & Botanical Garden has trusted IBI Group's surveyors and engineers to provide a range of civil, site, water, exhibits and surveying expertise on several additions and upgrades to their world-class exhibits including Hippo Cove, Painted Dog, Cat Canyon and Africa Savannah. Focusing on the mission of the Zoo, all projects are designed to be LEED Certified, with significant sustainable elements. IBI Group is part of the team that created the 2025 master plan, with more than $150M in capital expenditures to celebrate the 150th anniversary of the Zoo."
Cincinnati Zoo,"Cincinnati, OH",Cincinnati Zoo & Botanical Garden,"Bridge Engineering
Civil Engineering
Civil Infrastructure
Development Engineering
Engineering
Geomatics / Land Surveying
Green
Master Planning
Parking
Parks
Project / Programme Management
Solar","Completion: Ongoing
LEED: Silver, Education Center
LEED: Platinum, Entry Village","Jeffrey B. Koehn: Associate Director | US Transportation Lead, Infrastructure","For more than 15 years, the Cincinnati Zoo & Botanical Garden has trusted IBI Group's surveyors and engineers to provide a range of civil, site, water, exhibits and surveying expertise on several additions and upgrades to their world-class exhibits including the Harold C. Schott Education Center and Entry Village. Focusing on the mission of the Zoo, all projects are designed to be LEED Certified, with significant sustainable elements. IBI Group is part of the team that created the 2025 master plan, with more than $150M in capital expenditures to celebrate the 150th anniversary of the Zoo."
William R. Blocker Middle School,"Texas City, TX",Texas City Independent School District,"Architecture
BIM / 3D Visualization
Education
Interiors
K-12 Education
Learning+
Master Planning","Size: 105,259 sq ft
Completed: 2014","Mark French: Director | US Deputy Education Lead, Buildings
Brad Hughes: Sr. Associate Principal | Education, Buildings","IBI Group provided master planning and architecture services for the renovations of and additions to William R. Blocker Middle School, transforming the existing school into a state-of-the-art teaching facility. Community participation was vital to the success of the project."
Jacob Reingold Pavilion,"Riverdale, NY",Hebrew Home for the Aged at Riverdale,"Architecture
Healthcare
Healthcare+
Interiors
Mid Rise Residential
Seniors Communities
Strategic Planning","Size: 157,000 sq ft
Storys: 5
Beds: 168
Completed: 2010",,"IBI Group provided architectural and interior design services for Jacob Reingold Pavilion, a skilled nursing facility in Riverdale, NY dedicated to enhancing quality of life, promoting independence, and removing traces of institutional life while still providing excellent care."
Hospice Kingston,"Kingston, ON",Hospice Kingston,"Architecture
Healthcare
Healthcare+","Size: 24,000 sq ft
Beds: 10
Status: Ongoing","David Hastings: Director | Sr. Practice Lead, Architecture
David Wood: Associate Director | Practice Lead, Architecture","IBI Group is leading the functional programming and design for a new 24,000 sq. ft. palliative care centre of excellence and residential hospice in Kingston, Ontario. The new 10-bed facility will enable Hospice Kingston to provide a wide range of supportive programs to people living with life-limiting illnesses, and their families, in a warm and welcoming environment that is family-friendly, respectful and universally accessible."
Carnival Cruise Terminal,"Long Beach, CA",Carnival Cruise Lines,"Architecture
Design Build
Interiors
Terminals
Transit Facilities","Dome Interior: 54,000 sq ft
Exterior Plaza: 39,000 sq ft
Completed: 2009","Kirk Shimazu: Associate Director | US Civic Lead, Buildings","IBI Group provided architecture and interior design services for the retrofit of Carnival's Long Beach Cruise Terminal. A domed structure, originally home to Howard Hughes' Spruce Goose seaplane, the design needed to accommodate one of the largest ships in Carnival's fleet while respecting the existing architectural expression of the dome."
Capture App,"National, Scotland",Transport Scotland,"Bridges, Roads &amp; Highways
Operations
Software as a Service
Spatial Intelligence",,"Graeme Scott: Director | UK Sector Lead, Intelligence
Mark Jenkins: Director - UK Operations Lead, Intelligence","Designed by IBI Group, the Capture App is a unique and innovative way to monitor and collect information about defects on transportation assets, including roads, highways, sensors, cameras and tunnels, across Scotland."
University of Massachusetts Dartmouth Quad,"Dartmouth, MA",University of Massachusetts Dartmouth,"Education
Heritage / Historic Preservation
Higher Education
Landscape Architecture
Learning+
Placemaking","Area: 135,000 sq ft
Completed: 2017","John Amodeo ASLA LEED AP: Principal, Landscape Architecture","By re-imaging the mid-century brutalist architecture of the University of Massachusetts Dartmouth (UMassD), IBI Group was able to bring social interaction and a vital missing link to the design of its campus core."
BC Variable Speed Limit System,"Vancouver, BC",Ministry of Transportation and Infrastructure,"Advanced Traffic Management System
Engineering
Software as a Service
Systems
Traffic Signals Design
Transportation","Digital Signs: 47
Completed: 2016","Homayoun Vahidi: Director
Jonathan Darton: Director - Sr. Practice Lead, System Engineering","As part of Move 10, British Columbia's plan to improve its transportation network, IBI Group was responsible for the design, development and deployment of the software behind 47 variable speed limit signs along three major west coast highways."
Computer Modelling Group,"Calgary, AB",CMG Ltd.,"Design and Contract Documents
Implementation/Construction Phase Services
Interiors
Office
Research &amp; Development
Site Development
Strategic Planning","Size: 105,000 sq ft
Storeys: 4
Completed: 2017","Jane Juranek: Associate - Manager, Interior Design
Barry Nathan: Associate Director | Practice Lead, Interior Design
Jonathan Steel: Associate Director | Office Lead, Portland","Combining all of their locations into one facility, our interior designers helped Computer Modelling Group realize a unique vision central to their brand, by integrating structured geological formations and stratigraphic layers into their new corporate headquarters."
Carina and Callisto at Harbour Green,"Vancouver, BC",Delta Land Development,"Architecture
BIM / 3D Visualization
High Rise Residential
Living+
Residential","Carina Completed: 2002
Callisto Completed: 2004","Martin Bruckner: Director, Architect","Carina and Callisto at Harbour Green form a distinctive pair of buildings on the Vancouver waterfront, creating sail-like images on the water's edge. With the dramatic waterfront setting, IBI Group led the design and development of both towers to become one of the most prestigious locations in Vancouver."
Royal Hospital for Neuro-Disability,"London, UK",Royal Hospital for Neuro-disability,"Architecture
Healthcare+
Interiors
Mental Health Care","Storeys: 2
Completed: 2013",,"Providing highly-specialized care for patients with profound brain injuries, the Royal Hospital for Neuro-disability commissioned IBI Group to redesign Wolfson Ward's existing two-storey building to improve the environment for patients, staff and visitors."
Childhood Cancer Research Program,"Calgary, AB",University of Calgary,"Education
Healthcare
Higher Education
Interiors
Labs / Life Sciences
New Projects
Office","Size: 11,100 sq ft
Completed: 2018","Keith Sallaway: Director, Architect
Jonathan Steel: Associate Director | Office Lead, Portland","IBI Group designed the renovation of the existing laboratory in the Heritage Medical Research Building at the University of Calgary's Foothills Campus. The newly designed facility challenges traditional approaches to laboratory design, providing a modern and highly functional open-concept space."
Glasgow Commonwealth Games,"Glasgow, UK",Glasgow 2014 Limited,"Transit Planning
Transportation Planning",Completed: 2014,"Graeme Scott: Director | UK Sector Lead, Intelligence","IBI Group, as part of a team, was responsible for providing travel demand management for the 2014 Glasgow Commonwealth Games, facilitating accurate, real-time traveller information for more than 1.2 million spectators and approximately 500,000 visitors to the city."
Queen Mary Elementary School,"Vancouver, BC",Vancouver Board of Education SD #39,"Approvals
Architecture
Design and Contract Documents
Implementation/Construction Phase Services
Interiors
Landscape Architecture
Learning+
Project / Programme Management","LEED: Gold Equivalent
Size: 54,200 sq ft
Completed: 2017","Anita Leonoff: Director | Office Lead, Vancouver","Queen Mary Elementary School underwent a complete redevelopment, including the renovation and seismic upgrade of the school's iconic 1914 collegiate, gothic-style red brick building, and a significant new addition to the facility to house classrooms, learning commons library, multipurpose room, school commons and gymnasium. "
Ysbyty Alltwen Hospital,"Tremadog, UK",North West Wales NHS Trust,"Architecture
BIM / 3D Visualization
Green
Healthcare
Healthcare+
Interiors
Landscape Architecture
Mental Health Care
Project / Programme Management",Completed: 2008,Richard Golledge: Studio Director,"IBI Group led the architectural design of this one-of-a-kind, ecologically-integrated health centre located on the edge of Snowdonia National Park. "
Hadyn Ellis,"Cardiff, UK",Cardiff University,"Architecture
BIM / 3D Visualization
Design Build
Education
Environmental Assessment
Green
Higher Education
Labs / Life Sciences
Master Planning
Office
Planning &amp; Urban Design
Project / Programme Management","BREEAM: Excellent
Size: 9,000 m2
Completed: 2013",Richard Golledge: Studio Director,"A key component of Cardiff University's collaborative Science & Innovation Campus at Maindy Road, the new Hadyn Ellis Building unifies leading researchers in science, education and health inside one fully-integrated discovery building. "
Kirkgate Market,"Leeds, UK",Leeds City Council & Interserve Construction,"Architecture
BIM / 3D Visualization
Heritage / Historic Preservation
Landscape Architecture
Living+
Public Outreach
Retail",Completed: 2016,Seamus Lennon: Studio Principal,"To address problems with the condition of the building and ensure future success, IBI Group was retained as Lead Designer for the refurbishment of the iconic Kirkgate Market. First established in 1857, Kirkgate Market is of significant local and historical importance being Grade 1 listed, and is home to some of the most characterful traders in the city, including the very first Marks and Spencer's."
Carriage Trails,"Huber Heights, OH",DEC Land Co. | LLC,"Bridges, Roads &amp; Highways
Civil Engineering
Civil Infrastructure
Design Build
Low Rise Residential
Master Planning
Residential
Seniors Communities
Site Development
Water / Wastewater
Water Resources Management","Completed: Ongoing
Area: 625 Acres","Jeffrey B. Koehn: Associate Director | US Transportation Lead, Infrastructure","IBI Group prepared a master plan and provided full design services for a new development surrounding an 18-hole golf course near Dayton, OH. The master plan includes condominiums, senior living, assisted living, apartments, and 1,500 single family homes surrounding 625 acres of green space and recreational areas."
Mary Lyon Elementary School,"Tacoma, WA",Tacoma Public Schools,"Architecture
Education
Implementation/Construction Phase Services
K-12 Education
Learning+
New Projects","Completed: 2018
Area: 56,675 sq ft
Storeys: 3",Kristin Belz: Marketing Coordinator,"Providing approximately 56,000 sq ft of innovative learning spaces for students, this replacement elementary school is a place for the community to gather and continue making its own history."
Tameside Advanced Learning Centre and Advanced Technologies Centre,"Tameside, UK",Tameside College,"Architecture
BIM / 3D Visualization
Education
Learning+
Specialized Learning","ALC Size: 5,000 sq m
ATC Size: 3,500 sq m
Completed: 2016",Sue Chadwick: Studio Director,"IBI Group provided architectural services for the design of the Advanced Learning Centre and Advanced Technologies Centre at Tameside College. The new development represents the future of education, providing state-of-the-art facilities to equip students for the challenges of a changing economy requiring a highly skilled workforce. "
Cornell University – College of Human Ecology,"Ithaca, NY","State University Construction Fund, Cornell University & the College of Human Ecology","Architecture
Design and Contract Documents
Education
Environmental Assessment
Green
Higher Education
Interiors
Learning+
Master Planning
Parking
Project / Programme Management","Completed: 2011
Total Area (Building & Garage): 227,300 sq ft",,"Designed to stimulate a broad spectrum of creative research and innovative thinking, Cornell University enlisted IBI Group to create an unparalleled experience for faculty and students alike in its new College of Human Ecology building."
Lord Kitchener Elementary School,"Vancouver, BC",Vancouver School Board (School District No. 39),"Approvals
Architecture
Design and Contract Documents
Education
Implementation/Construction Phase Services
Interiors
K-12 Education
Learning+",Completed: 2013,"Anita Leonoff: Director | Office Lead, Vancouver
Rachel DeWitt: Associate Director, Sub-Sector Lead","As part of a provincially-funded seismic upgrade and ‘Neighbourhood of Learning' programs, IBI Group was brought onboard to modernize and redesign an originally free-standing, 1914 Heritage A-listed, wood frame school building fully integrated into a state-of-the-art replacement school."
41 Cooper Square,"New York, NY",Cooper Union,"Architecture
Design and Contract Documents
Education
Environmental Assessment
Interiors
Learning+
Planning &amp; Urban Design
Project / Programme Management","LEED: Platinum
Size: 175,000 sq ft
Storys: 11 (two below grade)
Completed: 2009",,"IBI Group provided comprehensive programming, planning and design services for the new 175,000 square foot modern, academic and student services building for The Cooper Union. Our team guided the school through the process of determining which key functional spaces would remain in the landmarked historic Foundation Building by collaborating with Cooper Union's steering committee."
SR-4 Bypass Widening,"Butler County, OH",Butler County Transportation Improvement District,"Bridge Engineering
Bridges, Roads &amp; Highways
Civil Engineering
Engineering
Geomatics / Land Surveying
Structural Engineering
Transportation
Transportation Engineering
Transportation Planning","Length: 4 Miles
Completed: 2013","Jeffrey B. Koehn: Associate Director | US Transportation Lead, Infrastructure
Mike Murray PE LEED AP: Associate Director | Office Lead, Ohio","To help improve traffic flow and reduce congestion on State Route 4, IBI Group provided engineering and design services for the widening of the State Route 4 Bypass in Ohio. The project involved converting almost four miles of the two-lane state route into a four-lane divided facility. "
King Street and City Centre District Streetscape,"Kitchener, ON",City of Kitchener,"Active Transportation
Civil Engineering
Engineering
Landscape Architecture
Mobility+
Placemaking
Planning &amp; Urban Design
Water Resources Management","Area: Six Blocks
Completed: 2010","Trevor McIntyre: Regional Director, UK/Ireland & International
Kelly Cobbe: Director | Office Lead
Neno Kovacevic: Associate Director | Practice Lead, Urban Design / Landscape Architecture","IBI Group was retained by the City of Kitchener to redesign its core downtown streets, which involved developing a Streetscape Master Plan for King Street and the City Centre District that follows a ""pedestrian-first"" theme."
Servite High School,"Anaheim, CA",Servite High School,"Architecture
Education",Completion: Ongoing,"Rachel DeWitt: Associate Director, Sub-Sector Lead","Designed by IBI Group, Servite High School's modernization transformed this all-male, Roman Catholic college preparatory high school in Anaheim, CA on a 15-acre campus with a world-class community aquatics center."
Columbia Grammar & Preparatory School,"New York, NY",Columbia Grammar & Preparatory School,"Approvals
Architecture
Education
Interiors
K-12 Education
Rezoning and Approvals","Completed: 2016
Storeys: 2-storey expansion (7 total)","Bryan McKeown: Associate, Architect
Rachel DeWitt: Associate Director, Sub-Sector Lead","This K-12 school is one of the oldest institutions on Manhattan's Upper West Side. Committed to expanding and modernizing its facilities, Columbia Grammar engaged IBI Group to design two-separate expansion and renovation/consolidation projects for their Lower and Middle Schools."
Kirkwood Hospice,"Huddersfield, UK",Kirkwood Hospice,"Approvals
Architecture
Design and Contract Documents
Healthcare+
Implementation/Construction Phase Services
Interiors
Project / Programme Management","Refurbishment: 720 m2
New Build: 432 m2
Completed: 2013",John Knape: Frameworks Director,"IBI Group provided architectural and interior design services for the extension and remodelling of Kirkwood Hospice. With improved clinical efficiency, patient-focused interior design, and integrated landscape and artwork strategies, the IBI design team created a state-of-the-art hospice that will serve the people of Huddersfield for the next 25 years."
Holt Renfrew,"Various Cities, ON, AB, BC",Holt Renfrew & Co. Ltd.,"Architecture
Interiors
Project / Programme Management
Retail",Status: Ongoing,"Anita Leonoff: Director | Office Lead, Vancouver
Drummond Hassan: Director | Sr. Practice Lead, Architecture","IBI Group led renovations and new build for multiple key locations across Canada, including flagship stores in Calgary, Vancouver and Mississauga, and the ongoing renovations to ensure each store remains at the leading edge of retail design.  "
Ulysses S. Grant High School,"Los Angeles, CA",LAUSD,"Architecture
Education
Landscape Architecture
Learning+","Size: 243,512 sq ft
Status: Ongoing","Yong Kang: Director | US Sector Lead, Buildings
Rachel DeWitt: Associate Director, Sub-Sector Lead
Craig Atkinson: Director - Sr. Principal, Architecture",Ulysses S. Grant High School has been redesigned to create a safe and healthy high performance facility that enhances the learning environment for students and employees. The IBI design team used ‘Next Generation' learning as a guide for the comprehensive modernization of the high school.
Hockinson Middle School,"Brush Prairie, WA",Hockinson School District,"Architecture
Education
Implementation/Construction Phase Services
K-12 Education
Learning+
New Projects","Completed: 2018
Area: 78,000 sq ft",,"IBI Group designed this new middle school which breaks the old model of hierarchical, teacher-centered classrooms, and instead creates flexible spaces for the next generation."
Jim and Pam Wells Elementary School,"Cypress, TX",Cypress-Fairbanks ISD,"BIM / 3D Visualization
Education
Interiors
Learning+
Master Planning
Project / Programme Management",Completed: 2017,"Mark French: Director | US Deputy Education Lead, Buildings","This highly flexible learning environment features a contemporary design, and is part of a larger educational village featuring secondary, middle, and elementary schools co-operating in close proximity with a number of shared resources. "
David Anthony Middle School,"Cypress, TX",Cypress-Fairbanks ISD,"BIM / 3D Visualization
Design Build
Interiors
Learning+
Project / Programme Management","Size: 252,894 sq ft
Completed: 2014","Mark French: Director | US Deputy Education Lead, Buildings",This highly adaptable middle school is part of a two campus site featuring middle and elementary schools co-operating in close proximity with a number of shared resources.
Algonquin College Student Commons,"Ottawa, ON",PCL Constructors Canada,"Architecture
Higher Education
Implementation/Construction Phase Services
Landscape Architecture
Learning+","LEED: Gold
Size: 110,000 sq ft
Completed: 2012",,"Envisioned as the ""Heart of the Campus”, IBI Group designed a 110,000 sq. ft. Student Commons for Algonquin College, providing a destination for student gatherings, events and celebrations."
